tad_id	tad_chr	tad_start	tad_end	meanAge	percentOld
chr1_110150000_110250000	chr1	110150000	110250000	2.33333333333333	0.666666666666667
chr1_110250000_110350000	chr1	110250000	110350000	1.66666666666667	0.333333333333333
chr1_111650000_111850000	chr1	111650000	111850000	2.6	0.8
chr1_112050000_112250000	chr1	112050000	112250000	1	0
chr1_112250000_112350000	chr1	112250000	112350000	3	1
chr1_113750000_114150000	chr1	113750000	114150000	3	1
chr1_115650000_115950000	chr1	115650000	115950000	3	1
chr1_116250000_116350000	chr1	116250000	116350000	3	1
chr1_120050000_120150000	chr1	120050000	120150000	1	0
chr1_120150000_120250000	chr1	120150000	120250000	3	1
chr1_120250000_120850000	chr1	120250000	120850000	1.8	0.4
chr1_142850000_143950000	chr1	142850000	143950000	1	0
chr1_146450000_147350000	chr1	146450000	147350000	2.66666666666667	0.833333333333333
chr1_147350000_147450000	chr1	147350000	147450000	3	1
chr1_147950000_148850000	chr1	147950000	148850000	1	0
chr1_151350000_151450000	chr1	151350000	151450000	3	1
chr1_151450000_151750000	chr1	151450000	151750000	3	1
chr1_152550000_153150000	chr1	152550000	153150000	1	0
chr1_153750000_153850000	chr1	153750000	153850000	3	1
chr1_154450000_154950000	chr1	154450000	154950000	2.6	0.8
chr1_155250000_155650000	chr1	155250000	155650000	2.71428571428571	0.857142857142857
chr1_157550000_157850000	chr1	157550000	157850000	1	0
chr1_159150000_159650000	chr1	159150000	159650000	1.33333333333333	0.166666666666667
chr1_160850000_160950000	chr1	160850000	160950000	1	0
chr1_165350000_165450000	chr1	165350000	165450000	3	1
chr1_165650000_165750000	chr1	165650000	165750000	3	1
chr1_167250000_167450000	chr1	167250000	167450000	3	1
chr1_168250000_168350000	chr1	168250000	168350000	3	1
chr1_169950000_170850000	chr1	169950000	170850000	3	1
chr1_171550000_171650000	chr1	171550000	171650000	3	1
chr1_171650000_171850000	chr1	171650000	171850000	3	1
chr1_173450000_173750000	chr1	173450000	173750000	2.33333333333333	0.666666666666667
chr1_173750000_173850000	chr1	173750000	173850000	3	1
chr1_175250000_175350000	chr1	175250000	175350000	3	1
chr1_176350000_176550000	chr1	176350000	176550000	3	1
chr1_177050000_177150000	chr1	177050000	177150000	3	1
chr1_183150000_183250000	chr1	183150000	183250000	3	1
chr1_183250000_183450000	chr1	183250000	183450000	3	1
chr1_184050000_184550000	chr1	184050000	184550000	3	1
chr1_185750000_186150000	chr1	185750000	186150000	3	1
chr1_190050000_190250000	chr1	190050000	190250000	3	1
chr1_191850000_192250000	chr1	191850000	192250000	3	1
chr1_193150000_193250000	chr1	193150000	193250000	3	1
chr1_197850000_197950000	chr1	197850000	197950000	3	1
chr1_197950000_198450000	chr1	197950000	198450000	3	1
chr1_202250000_202350000	chr1	202250000	202350000	3	1
chr1_202350000_202650000	chr1	202350000	202650000	3	1
chr1_204050000_204150000	chr1	204050000	204150000	3	1
chr1_204150000_204250000	chr1	204150000	204250000	2.33333333333333	0.666666666666667
chr1_204950000_205050000	chr1	204950000	205050000	3	1
chr1_205050000_205150000	chr1	205050000	205150000	3	1
chr1_205150000_205250000	chr1	205150000	205250000	3	1
chr1_205250000_205550000	chr1	205250000	205550000	2.6	0.8
chr1_205750000_205850000	chr1	205750000	205850000	3	1
chr1_205850000_206250000	chr1	205850000	206250000	2	0.5
chr1_206650000_207050000	chr1	206650000	207050000	2.5	0.75
chr1_208050000_208150000	chr1	208050000	208150000	1	0
chr1_211550000_211650000	chr1	211550000	211650000	3	1
chr1_212250000_212450000	chr1	212250000	212450000	3	1
chr1_212750000_212950000	chr1	212750000	212950000	2.33333333333333	0.666666666666667
chr1_212950000_213050000	chr1	212950000	213050000	2.33333333333333	0.666666666666667
chr1_216950000_217950000	chr1	216950000	217950000	3	1
chr1_220350000_220750000	chr1	220350000	220750000	3	1
chr1_221050000_221350000	chr1	221050000	221350000	3	1
chr1_223350000_223550000	chr1	223350000	223550000	3	1
chr1_223950000_224050000	chr1	223950000	224050000	3	1
chr1_225250000_225350000	chr1	225250000	225350000	1	0
chr1_226050000_226150000	chr1	226050000	226150000	1.5	0.25
chr1_226650000_227050000	chr1	226650000	227050000	3	1
chr1_227050000_227150000	chr1	227050000	227150000	3	1
chr1_227850000_227950000	chr1	227850000	227950000	2	0.5
chr1_227950000_228050000	chr1	227950000	228050000	1	0
chr1_228050000_228150000	chr1	228050000	228150000	3	1
chr1_230850000_231250000	chr1	230850000	231250000	3	1
chr1_233550000_233950000	chr1	233550000	233950000	3	1
chr1_234650000_235050000	chr1	234650000	235050000	3	1
chr1_235050000_235350000	chr1	235050000	235350000	3	1
chr1_237950000_239150000	chr1	237950000	239150000	1	0
chr1_240950000_241450000	chr1	240950000	241450000	3	1
chr1_241750000_241950000	chr1	241750000	241950000	2	0.5
chr1_243450000_244450000	chr1	243450000	244450000	3	1
chr1_244750000_244850000	chr1	244750000	244850000	3	1
chr1_247150000_247350000	chr1	247150000	247350000	1	0
chr1_247450000_247550000	chr1	247450000	247550000	1	0
chr1_247550000_247650000	chr1	247550000	247650000	1	0
chr1_247650000_247750000	chr1	247650000	247750000	1	0
chr1_247750000_248550000	chr1	247750000	248550000	1	0
chr1_248550000_248650000	chr1	248550000	248650000	1	0
chr1_248650000_248850000	chr1	248650000	248850000	1	0
chr1_248850000_249240621	chr1	248850000	249240621	2	0.5
chr10_0_850000	chr10	0	850000	2	0.5
chr10_850000_950000	chr10	850000	950000	3	1
chr10_1350000_2150000	chr10	1350000	2150000	3	1
chr10_3750000_3850000	chr10	3750000	3850000	3	1
chr10_5550000_5650000	chr10	5550000	5650000	3	1
chr10_5650000_5750000	chr10	5650000	5750000	3	1
chr10_6150000_6250000	chr10	6150000	6250000	3	1
chr10_6550000_6650000	chr10	6550000	6650000	3	1
chr10_6950000_7350000	chr10	6950000	7350000	3	1
chr10_12750000_13050000	chr10	12750000	13050000	3	1
chr10_14950000_15050000	chr10	14950000	15050000	3	1
chr10_18250000_18450000	chr10	18250000	18450000	3	1
chr10_18950000_19150000	chr10	18950000	19150000	3	1
chr10_21350000_21450000	chr10	21350000	21450000	1	0
chr10_21750000_21950000	chr10	21750000	21950000	1	0
chr10_21950000_22050000	chr10	21950000	22050000	3	1
chr10_22850000_23250000	chr10	22850000	23250000	3	1
chr10_23550000_23850000	chr10	23550000	23850000	3	1
chr10_24950000_25350000	chr10	24950000	25350000	3	1
chr10_26650000_26750000	chr10	26650000	26750000	3	1
chr10_28950000_29550000	chr10	28950000	29550000	3	1
chr10_29850000_30050000	chr10	29850000	30050000	3	1
chr10_32050000_32150000	chr10	32050000	32150000	3	1
chr10_37350000_38650000	chr10	37350000	38650000	1	0
chr10_44050000_44150000	chr10	44050000	44150000	1	0
chr10_46950000_47050000	chr10	46950000	47050000	3	1
chr10_47050000_47150000	chr10	47050000	47150000	3	1
chr10_47150000_47650000	chr10	47150000	47650000	1	0
chr10_47650000_48250000	chr10	47650000	48250000	1	0
chr10_49450000_49750000	chr10	49450000	49750000	3	1
chr10_50050000_50450000	chr10	50050000	50450000	2	0.5
chr10_50850000_50950000	chr10	50850000	50950000	3	1
chr10_58050000_58650000	chr10	58050000	58650000	3	1
chr10_60150000_60350000	chr10	60150000	60350000	3	1
chr10_61450000_61550000	chr10	61450000	61550000	3	1
chr10_63750000_63950000	chr10	63750000	63950000	3	1
chr10_68650000_68750000	chr10	68650000	68750000	3	1
chr10_71250000_71350000	chr10	71250000	71350000	3	1
chr10_71350000_71650000	chr10	71350000	71650000	3	1
chr10_73850000_73950000	chr10	73850000	73950000	3	1
chr10_75050000_75350000	chr10	75050000	75350000	3	1
chr10_75650000_75750000	chr10	75650000	75750000	2	0.5
chr10_77150000_78150000	chr10	77150000	78150000	3	1
chr10_81350000_81450000	chr10	81350000	81450000	1	0
chr10_81450000_81850000	chr10	81450000	81850000	1.5	0.25
chr10_82150000_82250000	chr10	82150000	82250000	3	1
chr10_86450000_87850000	chr10	86450000	87850000	3	1
chr10_89250000_89450000	chr10	89250000	89450000	3	1
chr10_89550000_90250000	chr10	89550000	90250000	2.33333333333333	0.666666666666667
chr10_90450000_90550000	chr10	90450000	90550000	2	0.5
chr10_90750000_90850000	chr10	90750000	90850000	3	1
chr10_93150000_93350000	chr10	93150000	93350000	3	1
chr10_93350000_93450000	chr10	93350000	93450000	3	1
chr10_93850000_94150000	chr10	93850000	94150000	3	1
chr10_94750000_95050000	chr10	94750000	95050000	3	1
chr10_95050000_95150000	chr10	95050000	95150000	3	1
chr10_96450000_96550000	chr10	96450000	96550000	1	0
chr10_98950000_99050000	chr10	98950000	99050000	1	0
chr10_99850000_100150000	chr10	99850000	100150000	3	1
chr10_100150000_100250000	chr10	100150000	100250000	3	1
chr10_102850000_103250000	chr10	102850000	103250000	3	1
chr10_103250000_103350000	chr10	103250000	103350000	3	1
chr10_104150000_104250000	chr10	104150000	104250000	3	1
chr10_104550000_104650000	chr10	104550000	104650000	2.33333333333333	0.666666666666667
chr10_104650000_105050000	chr10	104650000	105050000	3	1
chr10_105550000_105650000	chr10	105550000	105650000	3	1
chr10_113950000_114050000	chr10	113950000	114050000	3	1
chr10_117350000_118050000	chr10	117350000	118050000	3	1
chr10_118050000_118150000	chr10	118050000	118150000	3	1
chr10_119150000_120150000	chr10	119150000	120150000	3	1
chr10_121250000_121350000	chr10	121250000	121350000	3	1
chr10_122150000_122350000	chr10	122150000	122350000	3	1
chr10_124450000_124550000	chr10	124450000	124550000	1	0
chr10_126250000_126350000	chr10	126250000	126350000	3	1
chr10_126650000_126750000	chr10	126650000	126750000	3	1
chr10_127650000_127750000	chr10	127650000	127750000	3	1
chr10_128950000_129450000	chr10	128950000	129450000	1	0
chr10_129450000_129550000	chr10	129450000	129550000	3	1
chr10_134150000_135150000	chr10	134150000	135150000	2.8	0.9
chr10_135150000_135524747	chr10	135150000	135524747	1.75	0.375
chr11_150000_350000	chr11	150000	350000	2.27272727272727	0.636363636363636
chr11_350000_450000	chr11	350000	450000	3	1
chr11_950000_1050000	chr11	950000	1050000	3	1
chr11_1650000_1950000	chr11	1650000	1950000	2.33333333333333	0.666666666666667
chr11_1950000_2050000	chr11	1950000	2050000	3	1
chr11_3150000_3250000	chr11	3150000	3250000	1.66666666666667	0.333333333333333
chr11_4350000_5050000	chr11	4350000	5050000	1	0
chr11_5050000_5350000	chr11	5050000	5350000	1	0
chr11_10850000_10950000	chr11	10850000	10950000	3	1
chr11_10950000_11750000	chr11	10950000	11750000	3	1
chr11_13750000_14150000	chr11	13750000	14150000	3	1
chr11_17250000_17350000	chr11	17250000	17350000	3	1
chr11_17650000_17950000	chr11	17650000	17950000	3	1
chr11_18150000_18250000	chr11	18150000	18250000	1	0
chr11_18250000_18650000	chr11	18250000	18650000	1.90909090909091	0.454545454545455
chr11_26750000_27050000	chr11	26750000	27050000	3	1
chr11_27650000_28750000	chr11	27650000	28750000	3	1
chr11_31950000_32050000	chr11	31950000	32050000	3	1
chr11_32950000_33050000	chr11	32950000	33050000	3	1
chr11_33050000_33150000	chr11	33050000	33150000	3	1
chr11_33250000_33350000	chr11	33250000	33350000	3	1
chr11_46050000_46150000	chr11	46050000	46150000	3	1
chr11_47350000_47450000	chr11	47350000	47450000	3	1
chr11_47450000_47650000	chr11	47450000	47650000	2.75	0.875
chr11_48950000_49550000	chr11	48950000	49550000	1	0
chr11_51150000_54750000	chr11	51150000	54750000	1	0
chr11_54750000_55450000	chr11	54750000	55450000	1	0
chr11_55450000_55550000	chr11	55450000	55550000	1	0
chr11_58450000_58850000	chr11	58450000	58850000	1	0
chr11_59950000_60050000	chr11	59950000	60050000	1	0
chr11_60050000_60350000	chr11	60050000	60350000	1	0
chr11_62750000_63150000	chr11	62750000	63150000	1	0
chr11_63150000_63250000	chr11	63150000	63250000	1	0
chr11_63550000_63650000	chr11	63550000	63650000	1	0
chr11_63650000_63750000	chr11	63650000	63750000	2.33333333333333	0.666666666666667
chr11_63750000_63850000	chr11	63750000	63850000	3	1
chr11_64250000_64350000	chr11	64250000	64350000	1	0
chr11_64850000_64950000	chr11	64850000	64950000	2.2	0.6
chr11_65050000_65150000	chr11	65050000	65150000	2.5	0.75
chr11_65550000_65650000	chr11	65550000	65650000	3	1
chr11_65650000_65750000	chr11	65650000	65750000	3	1
chr11_65750000_65850000	chr11	65750000	65850000	3	1
chr11_66350000_66450000	chr11	66350000	66450000	2.5	0.75
chr11_66450000_66550000	chr11	66450000	66550000	3	1
chr11_66550000_66650000	chr11	66550000	66650000	3	1
chr11_66650000_66750000	chr11	66650000	66750000	1	0
chr11_66750000_66850000	chr11	66750000	66850000	3	1
chr11_66850000_67050000	chr11	66850000	67050000	3	1
chr11_67750000_68150000	chr11	67750000	68150000	2.42857142857143	0.714285714285714
chr11_68450000_68550000	chr11	68450000	68550000	3	1
chr11_70850000_71150000	chr11	70850000	71150000	3	1
chr11_73150000_73350000	chr11	73150000	73350000	3	1
chr11_73950000_74250000	chr11	73950000	74250000	2.66666666666667	0.833333333333333
chr11_75350000_75550000	chr11	75350000	75550000	2.33333333333333	0.666666666666667
chr11_75550000_76150000	chr11	75550000	76150000	2.33333333333333	0.666666666666667
chr11_76150000_76250000	chr11	76150000	76250000	3	1
chr11_76550000_76650000	chr11	76550000	76650000	3	1
chr11_87450000_88350000	chr11	87450000	88350000	3	1
chr11_88850000_89150000	chr11	88850000	89150000	3	1
chr11_91850000_92550000	chr11	91850000	92550000	3	1
chr11_94350000_94550000	chr11	94350000	94550000	3	1
chr11_99050000_99350000	chr11	99050000	99350000	3	1
chr11_101350000_101550000	chr11	101350000	101550000	3	1
chr11_102250000_102450000	chr11	102250000	102450000	2.33333333333333	0.666666666666667
chr11_102650000_102750000	chr11	102650000	102750000	1	0
chr11_103950000_104050000	chr11	103950000	104050000	3	1
chr11_106150000_107050000	chr11	106150000	107050000	3	1
chr11_107450000_107650000	chr11	107450000	107650000	2	0.5
chr11_107950000_108150000	chr11	107950000	108150000	3	1
chr11_108150000_108250000	chr11	108150000	108250000	3	1
chr11_108750000_108850000	chr11	108750000	108850000	3	1
chr11_109250000_109450000	chr11	109250000	109450000	3	1
chr11_111150000_111250000	chr11	111150000	111250000	2	0.5
chr11_114250000_114350000	chr11	114250000	114350000	1.66666666666667	0.333333333333333
chr11_118050000_118150000	chr11	118050000	118150000	2.33333333333333	0.666666666666667
chr11_118150000_118250000	chr11	118150000	118250000	1	0
chr11_118250000_118350000	chr11	118250000	118350000	2	0.5
chr11_119350000_119850000	chr11	119350000	119850000	3	1
chr11_123050000_123150000	chr11	123050000	123150000	3	1
chr11_123650000_123750000	chr11	123650000	123750000	1	0
chr11_123750000_123850000	chr11	123750000	123850000	1	0
chr11_125250000_125350000	chr11	125250000	125350000	3	1
chr11_125350000_125450000	chr11	125350000	125450000	3	1
chr11_134050000_134150000	chr11	134050000	134150000	3	1
chr11_134150000_134996516	chr11	134150000	134996516	3	1
chr12_0_950000	chr12	0	950000	3	1
chr12_1850000_1950000	chr12	1850000	1950000	3	1
chr12_3450000_3650000	chr12	3450000	3650000	3	1
chr12_4650000_4750000	chr12	4650000	4750000	2	0.5
chr12_5250000_5950000	chr12	5250000	5950000	3	1
chr12_6150000_6250000	chr12	6150000	6250000	3	1
chr12_8650000_9050000	chr12	8650000	9050000	2.33333333333333	0.666666666666667
chr12_9050000_9150000	chr12	9050000	9150000	2.33333333333333	0.666666666666667
chr12_15450000_15550000	chr12	15450000	15550000	3	1
chr12_18350000_18850000	chr12	18350000	18850000	3	1
chr12_18850000_18950000	chr12	18850000	18950000	3	1
chr12_19250000_19350000	chr12	19250000	19350000	3	1
chr12_19850000_20450000	chr12	19850000	20450000	3	1
chr12_20450000_20750000	chr12	20450000	20750000	3	1
chr12_25550000_26050000	chr12	25550000	26050000	3	1
chr12_29550000_29750000	chr12	29550000	29750000	3	1
chr12_30750000_30950000	chr12	30750000	30950000	3	1
chr12_31550000_31650000	chr12	31550000	31650000	3	1
chr12_33150000_34150000	chr12	33150000	34150000	3	1
chr12_39750000_39950000	chr12	39750000	39950000	3	1
chr12_41950000_42050000	chr12	41950000	42050000	3	1
chr12_48450000_48550000	chr12	48450000	48550000	3	1
chr12_48550000_48650000	chr12	48550000	48650000	1	0
chr12_48650000_48950000	chr12	48650000	48950000	1	0
chr12_51350000_51450000	chr12	51350000	51450000	3	1
chr12_51450000_51650000	chr12	51450000	51650000	2.6	0.8
chr12_52850000_52950000	chr12	52850000	52950000	1	0
chr12_52950000_53150000	chr12	52950000	53150000	1	0
chr12_53150000_53250000	chr12	53150000	53250000	1	0
chr12_53550000_53650000	chr12	53550000	53650000	3	1
chr12_53650000_53750000	chr12	53650000	53750000	3	1
chr12_54350000_54550000	chr12	54350000	54550000	2.71428571428571	0.857142857142857
chr12_56550000_56650000	chr12	56550000	56650000	2.33333333333333	0.666666666666667
chr12_56650000_56750000	chr12	56650000	56750000	2.33333333333333	0.666666666666667
chr12_57350000_57450000	chr12	57350000	57450000	2.2	0.6
chr12_57450000_57550000	chr12	57450000	57550000	3	1
chr12_58550000_59450000	chr12	58550000	59450000	3	1
chr12_62750000_63150000	chr12	62750000	63150000	3	1
chr12_65750000_66250000	chr12	65750000	66250000	3	1
chr12_68750000_69050000	chr12	68750000	69050000	3	1
chr12_69850000_69950000	chr12	69850000	69950000	3	1
chr12_70150000_71050000	chr12	70150000	71050000	3	1
chr12_72550000_72650000	chr12	72550000	72650000	3	1
chr12_75450000_75550000	chr12	75450000	75550000	3	1
chr12_78450000_78550000	chr12	78450000	78550000	3	1
chr12_80050000_80150000	chr12	80050000	80150000	3	1
chr12_80150000_80450000	chr12	80150000	80450000	3	1
chr12_81050000_81150000	chr12	81050000	81150000	3	1
chr12_81250000_81550000	chr12	81250000	81550000	3	1
chr12_82850000_83850000	chr12	82850000	83850000	3	1
chr12_85650000_85750000	chr12	85650000	85750000	3	1
chr12_92450000_92550000	chr12	92450000	92550000	3	1
chr12_96550000_96650000	chr12	96550000	96650000	3	1
chr12_99050000_99150000	chr12	99050000	99150000	3	1
chr12_99550000_100050000	chr12	99550000	100050000	1	0
chr12_102450000_103050000	chr12	102450000	103050000	2.6	0.8
chr12_104250000_104350000	chr12	104250000	104350000	3	1
chr12_109150000_109250000	chr12	109150000	109250000	3	1
chr12_110950000_111050000	chr12	110950000	111050000	3	1
chr12_113350000_113450000	chr12	113350000	113450000	1	0
chr12_117150000_117250000	chr12	117150000	117250000	3	1
chr12_120750000_121350000	chr12	120750000	121350000	2.86666666666667	0.933333333333333
chr12_121350000_121450000	chr12	121350000	121450000	3	1
chr12_122350000_122650000	chr12	122350000	122650000	2.33333333333333	0.666666666666667
chr12_122650000_122750000	chr12	122650000	122750000	2.5	0.75
chr12_122750000_122850000	chr12	122750000	122850000	3	1
chr12_123050000_123150000	chr12	123050000	123150000	3	1
chr12_123150000_123250000	chr12	123150000	123250000	2	0.5
chr12_124550000_124750000	chr12	124550000	124750000	3	1
chr12_124950000_125150000	chr12	124950000	125150000	3	1
chr12_125650000_127150000	chr12	125650000	127150000	3	1
chr12_129150000_129350000	chr12	129150000	129350000	3	1
chr12_131350000_131750000	chr12	131350000	131750000	3	1
chr12_133150000_133250000	chr12	133150000	133250000	3	1
chr12_133550000_133841895	chr12	133550000	133841895	1	0
chr13_20250000_20450000	chr13	20250000	20450000	2	0.5
chr13_20450000_20750000	chr13	20450000	20750000	2	0.5
chr13_20750000_20950000	chr13	20750000	20950000	1	0
chr13_20950000_21050000	chr13	20950000	21050000	3	1
chr13_22250000_23250000	chr13	22250000	23250000	3	1
chr13_25250000_25350000	chr13	25250000	25350000	3	1
chr13_30050000_30250000	chr13	30050000	30250000	3	1
chr13_30250000_30350000	chr13	30250000	30350000	3	1
chr13_30750000_31150000	chr13	30750000	31150000	3	1
chr13_31850000_32250000	chr13	31850000	32250000	3	1
chr13_33250000_33750000	chr13	33250000	33750000	3	1
chr13_34450000_34650000	chr13	34450000	34650000	3	1
chr13_36050000_36250000	chr13	36050000	36250000	3	1
chr13_36950000_37350000	chr13	36950000	37350000	3	1
chr13_39250000_39350000	chr13	39250000	39350000	3	1
chr13_40350000_40450000	chr13	40350000	40450000	3	1
chr13_40450000_41250000	chr13	40450000	41250000	3	1
chr13_41950000_42150000	chr13	41950000	42150000	3	1
chr13_42250000_42650000	chr13	42250000	42650000	3	1
chr13_43150000_43550000	chr13	43150000	43550000	2	0.5
chr13_43550000_43650000	chr13	43550000	43650000	3	1
chr13_46150000_46250000	chr13	46150000	46250000	3	1
chr13_47450000_48250000	chr13	47450000	48250000	3	1
chr13_48850000_49250000	chr13	48850000	49250000	3	1
chr13_50350000_50450000	chr13	50350000	50450000	3	1
chr13_51950000_52350000	chr13	51950000	52350000	3	1
chr13_52350000_52450000	chr13	52350000	52450000	1	0
chr13_52450000_52650000	chr13	52450000	52650000	3	1
chr13_53250000_53650000	chr13	53250000	53650000	2.5	0.75
chr13_58250000_59450000	chr13	58250000	59450000	3	1
chr13_61950000_62250000	chr13	61950000	62250000	3	1
chr13_70450000_70850000	chr13	70450000	70850000	3	1
chr13_71850000_73050000	chr13	71850000	73050000	3	1
chr13_76350000_76450000	chr13	76350000	76450000	2	0.5
chr13_78750000_79650000	chr13	78750000	79650000	3	1
chr13_80850000_80950000	chr13	80850000	80950000	3	1
chr13_84350000_85250000	chr13	84350000	85250000	3	1
chr13_95350000_95550000	chr13	95350000	95550000	3	1
chr13_96650000_96750000	chr13	96650000	96750000	3	1
chr13_97950000_98050000	chr13	97950000	98050000	3	1
chr13_98050000_98250000	chr13	98050000	98250000	3	1
chr13_99150000_99350000	chr13	99150000	99350000	3	1
chr13_101850000_102450000	chr13	101850000	102450000	3	1
chr13_105950000_106650000	chr13	105950000	106650000	1	0
chr13_106750000_107150000	chr13	106750000	107150000	3	1
chr13_110350000_110450000	chr13	110350000	110450000	3	1
chr13_111250000_111450000	chr13	111250000	111450000	3	1
chr13_111750000_111850000	chr13	111750000	111850000	3	1
chr13_112150000_113050000	chr13	112150000	113050000	2	0.5
chr13_113250000_113450000	chr13	113250000	113450000	3	1
chr13_113750000_114150000	chr13	113750000	114150000	3	1
chr13_114550000_115159878	chr13	114550000	115159878	3	1
chr14_19450000_20050000	chr14	19450000	20050000	1	0
chr14_21850000_21950000	chr14	21850000	21950000	3	1
chr14_22950000_23050000	chr14	22950000	23050000	3	1
chr14_25150000_25550000	chr14	25150000	25550000	3	1
chr14_26050000_27450000	chr14	26050000	27450000	3	1
chr14_30650000_30750000	chr14	30650000	30750000	3	1
chr14_31550000_31750000	chr14	31550000	31750000	3	1
chr14_31950000_32750000	chr14	31950000	32750000	3	1
chr14_32750000_32850000	chr14	32750000	32850000	3	1
chr14_34350000_34850000	chr14	34350000	34850000	3	1
chr14_35450000_35550000	chr14	35450000	35550000	3	1
chr14_35550000_35850000	chr14	35550000	35850000	2.33333333333333	0.666666666666667
chr14_35850000_35950000	chr14	35850000	35950000	3	1
chr14_35950000_36050000	chr14	35950000	36050000	3	1
chr14_36850000_36950000	chr14	36850000	36950000	1	0
chr14_46950000_47550000	chr14	46950000	47550000	1	0
chr14_50150000_50250000	chr14	50150000	50250000	3	1
chr14_51450000_51650000	chr14	51450000	51650000	3	1
chr14_51650000_51750000	chr14	51650000	51750000	3	1
chr14_51750000_52350000	chr14	51750000	52350000	3	1
chr14_52750000_52950000	chr14	52750000	52950000	3	1
chr14_52950000_53050000	chr14	52950000	53050000	3	1
chr14_53250000_53550000	chr14	53250000	53550000	3	1
