"chr"	"start"	"end"	"TAD"	"Length"
"67"	"chr1"	78539000	78699000	"TAD 67"	160000
"68"	"chr1"	78760000	80118000	"TAD 68"	1358000
"69"	"chr1"	80188000	81270000	"TAD 69"	1082000
"70"	"chr1"	81341000	83706000	"TAD 70"	2365000
"71"	"chr1"	83749000	84621000	"TAD 71"	872000
"72"	"chr1"	84727000	84885000	"TAD 72"	158000
"73"	"chr1"	84951000	85706000	"TAD 73"	755000
"74"	"chr1"	85749000	86022000	"TAD 74"	273000
"75"	"chr1"	86153000	86330000	"TAD 75"	177000
"76"	"chr1"	86445000	86524000	"TAD 76"	79000
"77"	"chr1"	86653000	87049000	"TAD 77"	396000
"78"	"chr1"	87174000	87978000	"TAD 78"	804000
"79"	"chr1"	88178000	88287000	"TAD 79"	109000
"80"	"chr1"	88371000	88722000	"TAD 80"	351000
"81"	"chr1"	88764000	89208000	"TAD 81"	444000
"82"	"chr1"	89232000	89621000	"TAD 82"	389000
"83"	"chr1"	89644000	89991000	"TAD 83"	347000
"84"	"chr1"	90039000	90573000	"TAD 84"	534000
"85"	"chr1"	90644000	92890000	"TAD 85"	2246000
"86"	"chr1"	92939000	93745000	"TAD 86"	806000
"87"	"chr1"	94004000	94080000	"TAD 87"	76000
"88"	"chr1"	94144000	95851000	"TAD 88"	1707000
"89"	"chr1"	95868000	96794000	"TAD 89"	926000
"90"	"chr1"	96824000	97686000	"TAD 90"	862000
"91"	"chr1"	97807000	103765000	"TAD 91"	5958000
"92"	"chr1"	103805000	104959000	"TAD 92"	1154000
"93"	"chr1"	104987000	105626000	"TAD 93"	639000
"94"	"chr1"	105654000	106386000	"TAD 94"	732000
"95"	"chr1"	106460000	106882000	"TAD 95"	422000
"96"	"chr1"	107107000	107561000	"TAD 96"	454000
"97"	"chr1"	107632000	111618000	"TAD 97"	3986000
"98"	"chr1"	111658000	117545000	"TAD 98"	5887000
"99"	"chr1"	117727000	118069000	"TAD 99"	342000
"100"	"chr1"	118345000	119522000	"TAD 100"	1177000
"101"	"chr1"	119526000	120551000	"TAD 101"	1025000
"102"	"chr1"	120613000	121542000	"TAD 102"	929000
"103"	"chr1"	121629000	122914000	"TAD 103"	1285000
"104"	"chr1"	122946000	125290000	"TAD 104"	2344000
"105"	"chr1"	125397000	127455000	"TAD 105"	2058000
"106"	"chr1"	127501000	127759000	"TAD 106"	258000
"107"	"chr1"	127815000	128235000	"TAD 107"	420000
"108"	"chr1"	128376000	128832000	"TAD 108"	456000
"109"	"chr1"	128885000	130360000	"TAD 109"	1475000
"110"	"chr1"	130545000	131063000	"TAD 110"	518000
"111"	"chr1"	131082000	131275000	"TAD 111"	193000
"112"	"chr1"	131297000	131868000	"TAD 112"	571000
"113"	"chr1"	131952000	132972000	"TAD 113"	1020000
"114"	"chr1"	133045000	133602000	"TAD 114"	557000
"115"	"chr1"	133675000	134329000	"TAD 115"	654000
"116"	"chr1"	134358000	134628000	"TAD 116"	270000
"117"	"chr1"	134645000	136455000	"TAD 117"	1810000
"118"	"chr1"	136545000	136749000	"TAD 118"	204000
"119"	"chr1"	136796000	137211000	"TAD 119"	415000
"120"	"chr1"	137307000	138043000	"TAD 120"	736000
"121"	"chr1"	138105000	138786000	"TAD 121"	681000
"122"	"chr1"	138852000	139369000	"TAD 122"	517000
"123"	"chr1"	139425000	139578000	"TAD 123"	153000
"124"	"chr1"	139670000	140073000	"TAD 124"	403000
"125"	"chr1"	140181000	140673000	"TAD 125"	492000
"126"	"chr1"	140720000	143545000	"TAD 126"	2825000
"127"	"chr1"	143658000	143770000	"TAD 127"	112000
"128"	"chr1"	143824000	144378000	"TAD 128"	554000
"129"	"chr1"	144414000	149772000	"TAD 129"	5358000
"130"	"chr1"	149859000	150246000	"TAD 130"	387000
"131"	"chr1"	150405000	150987000	"TAD 131"	582000
"132"	"chr1"	151067000	151384000	"TAD 132"	317000
"133"	"chr1"	151475000	151733000	"TAD 133"	258000
"134"	"chr1"	151842000	152743000	"TAD 134"	901000
"135"	"chr1"	152791000	153368000	"TAD 135"	577000
"136"	"chr1"	153547000	153785000	"TAD 136"	238000
"137"	"chr1"	153882000	154180000	"TAD 137"	298000
"138"	"chr1"	154288000	155006000	"TAD 138"	718000
"139"	"chr1"	155019000	155530000	"TAD 139"	511000
"140"	"chr1"	155575000	157085000	"TAD 140"	1510000
"141"	"chr1"	157119000	157498000	"TAD 141"	379000
"142"	"chr1"	157577000	158658000	"TAD 142"	1081000
"143"	"chr1"	158665000	159139000	"TAD 143"	474000
"144"	"chr1"	159294000	160122000	"TAD 144"	828000
"145"	"chr1"	160227000	161194000	"TAD 145"	967000
"146"	"chr1"	161207000	161289000	"TAD 146"	82000
"147"	"chr1"	161324000	161697000	"TAD 147"	373000
"148"	"chr1"	161753000	162717000	"TAD 148"	964000
"149"	"chr1"	162839000	163096000	"TAD 149"	257000
"150"	"chr1"	163107000	163772000	"TAD 150"	665000
"151"	"chr1"	163813000	163900000	"TAD 151"	87000
"152"	"chr1"	163940000	164216000	"TAD 152"	276000
"153"	"chr1"	164358000	165223000	"TAD 153"	865000
"154"	"chr1"	165282000	166348000	"TAD 154"	1066000
"155"	"chr1"	166457000	167374000	"TAD 155"	917000
"156"	"chr1"	167390000	167912000	"TAD 156"	522000
"157"	"chr1"	167958000	169457000	"TAD 157"	1499000
"158"	"chr1"	169563000	169918000	"TAD 158"	355000
"159"	"chr1"	169935000	170170000	"TAD 159"	235000
"160"	"chr1"	170252000	170614000	"TAD 160"	362000
"161"	"chr1"	170635000	170806000	"TAD 161"	171000
"162"	"chr1"	170893000	171009000	"TAD 162"	116000
"163"	"chr1"	171122000	171447000	"TAD 163"	325000
"164"	"chr1"	171619000	171961000	"TAD 164"	342000
"165"	"chr1"	172052000	172331000	"TAD 165"	279000
"166"	"chr1"	172408000	172631000	"TAD 166"	223000
"167"	"chr1"	172680000	173411000	"TAD 167"	731000
"168"	"chr1"	173598000	175876000	"TAD 168"	2278000
"169"	"chr1"	175944000	176680000	"TAD 169"	736000
"170"	"chr1"	176721000	177686000	"TAD 170"	965000
"171"	"chr1"	177936000	178124000	"TAD 171"	188000
"172"	"chr1"	178286000	178455000	"TAD 172"	169000
"173"	"chr1"	178558000	179451000	"TAD 173"	893000
"174"	"chr1"	179521000	179792000	"TAD 174"	271000
"175"	"chr1"	179865000	180225000	"TAD 175"	360000
"176"	"chr1"	180262000	180762000	"TAD 176"	5e+05
"177"	"chr1"	180878000	181216000	"TAD 177"	338000
"178"	"chr1"	181285000	181821000	"TAD 178"	536000
"179"	"chr1"	181892000	182125000	"TAD 179"	233000
"180"	"chr1"	182157000	182552000	"TAD 180"	395000
"181"	"chr1"	182553000	183267000	"TAD 181"	714000
"182"	"chr1"	183301000	183419000	"TAD 182"	118000
"183"	"chr1"	183524000	184737000	"TAD 183"	1213000
"184"	"chr1"	184851000	185182000	"TAD 184"	331000
"185"	"chr1"	185280000	185476000	"TAD 185"	196000
"186"	"chr1"	185608000	186701000	"TAD 186"	1093000
"187"	"chr1"	186815000	188939000	"TAD 187"	2124000
"188"	"chr1"	189002000	189574000	"TAD 188"	572000
"189"	"chr1"	189696000	190797000	"TAD 189"	1101000
"190"	"chr1"	190827000	191294000	"TAD 190"	467000
"191"	"chr1"	191326000	191569000	"TAD 191"	243000
"192"	"chr1"	191573000	191817000	"TAD 192"	244000
"193"	"chr1"	191831000	192107000	"TAD 193"	276000
"194"	"chr1"	192204000	192705000	"TAD 194"	501000
"195"	"chr1"	192748000	193098000	"TAD 195"	350000
"196"	"chr1"	193189000	195471971	"TAD 196"	2282971
"197"	"chr10"	0	3939000	"TAD 197"	3939000
"198"	"chr10"	4025000	4354000	"TAD 198"	329000
"199"	"chr10"	4438000	5840000	"TAD 199"	1402000
"200"	"chr10"	5876000	7294000	"TAD 200"	1418000
"201"	"chr10"	7623000	7794000	"TAD 201"	171000
"202"	"chr10"	7907000	8696000	"TAD 202"	789000
"203"	"chr10"	8744000	9742000	"TAD 203"	998000
"204"	"chr10"	9804000	11083000	"TAD 204"	1279000
"205"	"chr10"	11161000	11298000	"TAD 205"	137000
"206"	"chr10"	11450000	12978000	"TAD 206"	1528000
"207"	"chr10"	13065000	13440000	"TAD 207"	375000
"208"	"chr10"	13563000	14395000	"TAD 208"	832000
"209"	"chr10"	14406000	14705000	"TAD 209"	299000
"210"	"chr10"	14722000	17720000	"TAD 210"	2998000
"211"	"chr10"	17740000	20286000	"TAD 211"	2546000
"212"	"chr10"	20416000	20887000	"TAD 212"	471000
"213"	"chr10"	21003000	21288000	"TAD 213"	285000
"214"	"chr10"	21395000	21982000	"TAD 214"	587000
"215"	"chr10"	22193000	22352000	"TAD 215"	159000
"216"	"chr10"	22615000	23762000	"TAD 216"	1147000
"217"	"chr10"	23815000	24310000	"TAD 217"	495000
"218"	"chr10"	24341000	24616000	"TAD 218"	275000
"219"	"chr10"	24662000	25238000	"TAD 219"	576000
"220"	"chr10"	25258000	27745000	"TAD 220"	2487000
"221"	"chr10"	27850000	28879000	"TAD 221"	1029000
"222"	"chr10"	28971000	29358000	"TAD 222"	387000
"223"	"chr10"	29459000	30458000	"TAD 223"	999000
"224"	"chr10"	30602000	30805000	"TAD 224"	203000
"225"	"chr10"	30885000	32887000	"TAD 225"	2002000
"226"	"chr10"	32962000	33882000	"TAD 226"	920000
"227"	"chr10"	34020000	34318000	"TAD 227"	298000
"228"	"chr10"	34503000	36932000	"TAD 228"	2429000
"229"	"chr10"	37061000	39063000	"TAD 229"	2002000
"230"	"chr10"	39175000	40186000	"TAD 230"	1011000
"231"	"chr10"	40289000	40524000	"TAD 231"	235000
"232"	"chr10"	40635000	41286000	"TAD 232"	651000
"233"	"chr10"	41316000	41716000	"TAD 233"	4e+05
"234"	"chr10"	41828000	42277000	"TAD 234"	449000
"235"	"chr10"	42327000	42726000	"TAD 235"	399000
"236"	"chr10"	42793000	43527000	"TAD 236"	734000
"237"	"chr10"	43585000	44154000	"TAD 237"	569000
"238"	"chr10"	44305000	45025000	"TAD 238"	720000
"239"	"chr10"	45068000	45931000	"TAD 239"	863000
"240"	"chr10"	46022000	50515000	"TAD 240"	4493000
"241"	"chr10"	50690000	52099000	"TAD 241"	1409000
"242"	"chr10"	52122000	52402000	"TAD 242"	280000
"243"	"chr10"	52541000	53580000	"TAD 243"	1039000
"244"	"chr10"	53642000	53796000	"TAD 244"	154000
"245"	"chr10"	53861000	56291000	"TAD 245"	2430000
"246"	"chr10"	56373000	57388000	"TAD 246"	1015000
"247"	"chr10"	57471000	58513000	"TAD 247"	1042000
"248"	"chr10"	58595000	59844000	"TAD 248"	1249000
"249"	"chr10"	59898000	60243000	"TAD 249"	345000
"250"	"chr10"	60293000	61066000	"TAD 250"	773000
"251"	"chr10"	61178000	61446000	"TAD 251"	268000
"252"	"chr10"	61455000	61689000	"TAD 252"	234000
"253"	"chr10"	61742000	62449000	"TAD 253"	707000
"254"	"chr10"	62495000	63360000	"TAD 254"	865000
"255"	"chr10"	63538000	66735000	"TAD 255"	3197000
"256"	"chr10"	66890000	67188000	"TAD 256"	298000
"257"	"chr10"	67337000	67913000	"TAD 257"	576000
"258"	"chr10"	68026000	68342000	"TAD 258"	316000
"259"	"chr10"	68357000	69312000	"TAD 259"	955000
"260"	"chr10"	69382000	71217000	"TAD 260"	1835000
"261"	"chr10"	71251000	71389000	"TAD 261"	138000
"262"	"chr10"	71513000	74811000	"TAD 262"	3298000
"263"	"chr10"	74949000	75475000	"TAD 263"	526000
"264"	"chr10"	75581000	75957000	"TAD 264"	376000
"265"	"chr10"	75999000	76244000	"TAD 265"	245000
"266"	"chr10"	76274000	77925000	"TAD 266"	1651000
"267"	"chr10"	77985000	78419000	"TAD 267"	434000
"268"	"chr10"	78527000	79363000	"TAD 268"	836000
"269"	"chr10"	79729000	81175000	"TAD 269"	1446000
"270"	"chr10"	81189000	81593000	"TAD 270"	404000
"271"	"chr10"	81661000	82555000	"TAD 271"	894000
"272"	"chr10"	82638000	82902000	"TAD 272"	264000
"273"	"chr10"	82923000	83511000	"TAD 273"	588000
"274"	"chr10"	83533000	83736000	"TAD 274"	203000
"275"	"chr10"	83826000	84447000	"TAD 275"	621000
"276"	"chr10"	84480000	85126000	"TAD 276"	646000
"277"	"chr10"	85195000	85641000	"TAD 277"	446000
"278"	"chr10"	85893000	86470000	"TAD 278"	577000
"279"	"chr10"	86714000	87497000	"TAD 279"	783000
"280"	"chr10"	87561000	88324000	"TAD 280"	763000
"281"	"chr10"	88383000	88731000	"TAD 281"	348000
"282"	"chr10"	88751000	88812000	"TAD 282"	61000
"283"	"chr10"	88893000	90662000	"TAD 283"	1769000
"284"	"chr10"	90735000	91177000	"TAD 284"	442000
"285"	"chr10"	91324000	92974000	"TAD 285"	1650000
"286"	"chr10"	93077000	93800000	"TAD 286"	723000
"287"	"chr10"	93871000	94939000	"TAD 287"	1068000
"288"	"chr10"	95010000	95469000	"TAD 288"	459000
"289"	"chr10"	95561000	96077000	"TAD 289"	516000
"290"	"chr10"	96210000	97302000	"TAD 290"	1092000
"291"	"chr10"	97367000	99063000	"TAD 291"	1696000
"292"	"chr10"	99185000	99576000	"TAD 292"	391000
"293"	"chr10"	99682000	100444000	"TAD 293"	762000
"294"	"chr10"	100624000	102399000	"TAD 294"	1775000
"295"	"chr10"	102494000	102829000	"TAD 295"	335000
"296"	"chr10"	102869000	103167000	"TAD 296"	298000
"297"	"chr10"	103246000	105767000	"TAD 297"	2521000
"298"	"chr10"	105905000	106585000	"TAD 298"	680000
"299"	"chr10"	106616000	108537000	"TAD 299"	1921000
"300"	"chr10"	108586000	110661000	"TAD 300"	2075000
"301"	"chr10"	110788000	111937000	"TAD 301"	1149000
"302"	"chr10"	112203000	112792000	"TAD 302"	589000
"303"	"chr10"	112860000	115097000	"TAD 303"	2237000
"304"	"chr10"	115234000	117218000	"TAD 304"	1984000
"305"	"chr10"	117229000	117675000	"TAD 305"	446000
"306"	"chr10"	117760000	118101000	"TAD 306"	341000
"307"	"chr10"	118226000	120137000	"TAD 307"	1911000
"308"	"chr10"	120271000	120865000	"TAD 308"	594000
"309"	"chr10"	120948000	121258000	"TAD 309"	310000
"310"	"chr10"	121370000	121565000	"TAD 310"	195000
"311"	"chr10"	121698000	122039000	"TAD 311"	341000
"312"	"chr10"	122148000	122536000	"TAD 312"	388000
"313"	"chr10"	122545000	123127000	"TAD 313"	582000
"314"	"chr10"	123303000	126753000	"TAD 314"	3450000
"315"	"chr10"	126921000	127056000	"TAD 315"	135000
"316"	"chr10"	127111000	127992000	"TAD 316"	881000
"317"	"chr10"	128089000	128895000	"TAD 317"	806000
"318"	"chr10"	129098000	130694993	"TAD 318"	1596993
"319"	"chr11"	0	3925000	"TAD 319"	3925000
"320"	"chr11"	4e+06	5047000	"TAD 320"	1047000
"321"	"chr11"	5133000	6245000	"TAD 321"	1112000
"322"	"chr11"	6439000	6613000	"TAD 322"	174000
"323"	"chr11"	6666000	7161000	"TAD 323"	495000
"324"	"chr11"	7239000	8312000	"TAD 324"	1073000
"325"	"chr11"	8484000	9226000	"TAD 325"	742000
"326"	"chr11"	9259000	11321000	"TAD 326"	2062000
"327"	"chr11"	11458000	11781000	"TAD 327"	323000
"328"	"chr11"	11793000	11987000	"TAD 328"	194000
"329"	"chr11"	12063000	12526000	"TAD 329"	463000
"330"	"chr11"	12648000	16432000	"TAD 330"	3784000
"331"	"chr11"	16527000	17254000	"TAD 331"	727000
"332"	"chr11"	17291000	18797000	"TAD 332"	1506000
"333"	"chr11"	18871000	19738000	"TAD 333"	867000
"334"	"chr11"	19835000	20062000	"TAD 334"	227000
"335"	"chr11"	20140000	21450000	"TAD 335"	1310000
"336"	"chr11"	21576000	22617000	"TAD 336"	1041000
"337"	"chr11"	22634000	22943000	"TAD 337"	309000
"338"	"chr11"	23019000	23263000	"TAD 338"	244000
"339"	"chr11"	23309000	23570000	"TAD 339"	261000
"340"	"chr11"	23662000	23938000	"TAD 340"	276000
"341"	"chr11"	24036000	27099000	"TAD 341"	3063000
"342"	"chr11"	27215000	29053000	"TAD 342"	1838000
"343"	"chr11"	29152000	29234000	"TAD 343"	82000
"344"	"chr11"	29266000	29525000	"TAD 344"	259000
"345"	"chr11"	29526000	31620000	"TAD 345"	2094000
"346"	"chr11"	31680000	33125000	"TAD 346"	1445000
"347"	"chr11"	33208000	34780000	"TAD 347"	1572000
"348"	"chr11"	34880000	35684000	"TAD 348"	804000
"349"	"chr11"	35782000	36001000	"TAD 349"	219000
"350"	"chr11"	36056000	40602000	"TAD 350"	4546000
"351"	"chr11"	40932000	43294000	"TAD 351"	2362000
"352"	"chr11"	43483000	43715000	"TAD 352"	232000
"353"	"chr11"	43826000	44448000	"TAD 353"	622000
"354"	"chr11"	44621000	45595000	"TAD 354"	974000
"355"	"chr11"	45645000	45888000	"TAD 355"	243000
"356"	"chr11"	45963000	48768000	"TAD 356"	2805000
"357"	"chr11"	48781000	48867000	"TAD 357"	86000
"358"	"chr11"	48912000	49482000	"TAD 358"	570000
"359"	"chr11"	49669000	50365000	"TAD 359"	696000
"360"	"chr11"	50477000	51260000	"TAD 360"	783000
"361"	"chr11"	51273000	51529000	"TAD 361"	256000
"362"	"chr11"	51621000	51686000	"TAD 362"	65000
"363"	"chr11"	51813000	52098000	"TAD 363"	285000
"364"	"chr11"	52228000	52365000	"TAD 364"	137000
"365"	"chr11"	52500000	53188000	"TAD 365"	688000
"366"	"chr11"	53328000	53387000	"TAD 366"	59000
"367"	"chr11"	53482000	53874000	"TAD 367"	392000
"368"	"chr11"	53944000	54525000	"TAD 368"	581000
"369"	"chr11"	54617000	55444000	"TAD 369"	827000
"370"	"chr11"	55576000	56090000	"TAD 370"	514000
"371"	"chr11"	56165000	57411000	"TAD 371"	1246000
"372"	"chr11"	57509000	57777000	"TAD 372"	268000
"373"	"chr11"	57795000	58162000	"TAD 373"	367000
"374"	"chr11"	58241000	58327000	"TAD 374"	86000
"375"	"chr11"	58364000	58800000	"TAD 375"	436000
"376"	"chr11"	58968000	59776000	"TAD 376"	808000
"377"	"chr11"	59849000	60515000	"TAD 377"	666000
"378"	"chr11"	60726000	61094000	"TAD 378"	368000
"379"	"chr11"	61110000	61833000	"TAD 379"	723000
"380"	"chr11"	61955000	62271000	"TAD 380"	316000
"381"	"chr11"	62425000	62598000	"TAD 381"	173000
"382"	"chr11"	62613000	62678000	"TAD 382"	65000
"383"	"chr11"	62754000	63173000	"TAD 383"	419000
"384"	"chr11"	63213000	64932000	"TAD 384"	1719000
"385"	"chr11"	65018000	65767000	"TAD 385"	749000
"386"	"chr11"	65830000	66851000	"TAD 386"	1021000
"387"	"chr11"	66903000	67088000	"TAD 387"	185000
"388"	"chr11"	67111000	68795000	"TAD 388"	1684000
"389"	"chr11"	68912000	68999000	"TAD 389"	87000
"390"	"chr11"	69174000	69912000	"TAD 390"	738000
"391"	"chr11"	70030000	70761000	"TAD 391"	731000
"392"	"chr11"	70925000	7.1e+07	"TAD 392"	75000
"393"	"chr11"	71359000	72020000	"TAD 393"	661000
"394"	"chr11"	72062000	72200000	"TAD 394"	138000
"395"	"chr11"	72215000	72562000	"TAD 395"	347000
"396"	"chr11"	72569000	74260000	"TAD 396"	1691000
"397"	"chr11"	74382000	74528000	"TAD 397"	146000
"398"	"chr11"	74621000	74830000	"TAD 398"	209000
"399"	"chr11"	74966000	75645000	"TAD 399"	679000
"400"	"chr11"	75771000	77444000	"TAD 400"	1673000
"401"	"chr11"	77501000	77972000	"TAD 401"	471000
"402"	"chr11"	78055000	78165000	"TAD 402"	110000
"403"	"chr11"	78209000	78336000	"TAD 403"	127000
"404"	"chr11"	78348000	78420000	"TAD 404"	72000
"405"	"chr11"	78583000	79914000	"TAD 405"	1331000
"406"	"chr11"	80057000	80378000	"TAD 406"	321000
"407"	"chr11"	80491000	82720000	"TAD 407"	2229000
"408"	"chr11"	82741000	82911000	"TAD 408"	170000
"409"	"chr11"	83047000	83156000	"TAD 409"	109000
"410"	"chr11"	83312000	83473000	"TAD 410"	161000
"411"	"chr11"	83514000	83742000	"TAD 411"	228000
"412"	"chr11"	83790000	84112000	"TAD 412"	322000
"413"	"chr11"	84194000	84790000	"TAD 413"	596000
"414"	"chr11"	84915000	86175000	"TAD 414"	1260000
"415"	"chr11"	86212000	86436000	"TAD 415"	224000
"416"	"chr11"	86522000	87048000	"TAD 416"	526000
"417"	"chr11"	87171000	87382000	"TAD 417"	211000
"418"	"chr11"	87550000	87928000	"TAD 418"	378000
"419"	"chr11"	87973000	88210000	"TAD 419"	237000
"420"	"chr11"	88300000	88814000	"TAD 420"	514000
"421"	"chr11"	89109000	90605000	"TAD 421"	1496000
"422"	"chr11"	90724000	93792000	"TAD 422"	3068000
"423"	"chr11"	94008000	94548000	"TAD 423"	540000
"424"	"chr11"	94726000	94817000	"TAD 424"	91000
"425"	"chr11"	94839000	95256000	"TAD 425"	417000
"426"	"chr11"	95329000	96057000	"TAD 426"	728000
"427"	"chr11"	96129000	97186000	"TAD 427"	1057000
"428"	"chr11"	97208000	97300000	"TAD 428"	92000
"429"	"chr11"	97345000	97715000	"TAD 429"	370000
"430"	"chr11"	97790000	98115000	"TAD 430"	325000
"431"	"chr11"	98257000	98602000	"TAD 431"	345000
"432"	"chr11"	98699000	99154000	"TAD 432"	455000
"433"	"chr11"	99388000	100275000	"TAD 433"	887000
"434"	"chr11"	100372000	101438000	"TAD 434"	1066000
"435"	"chr11"	101466000	101533000	"TAD 435"	67000
"436"	"chr11"	101679000	101732000	"TAD 436"	53000
"437"	"chr11"	101742000	102449000	"TAD 437"	707000
"438"	"chr11"	102457000	102677000	"TAD 438"	220000
"439"	"chr11"	102737000	103942000	"TAD 439"	1205000
"440"	"chr11"	103970000	104215000	"TAD 440"	245000
"441"	"chr11"	104253000	104469000	"TAD 441"	216000
"442"	"chr11"	104576000	104679000	"TAD 442"	103000
"443"	"chr11"	104685000	105082000	"TAD 443"	397000
"444"	"chr11"	105280000	105331000	"TAD 444"	51000
"445"	"chr11"	105332000	105869000	"TAD 445"	537000
"446"	"chr11"	105937000	106190000	"TAD 446"	253000
"447"	"chr11"	106270000	106768000	"TAD 447"	498000
"448"	"chr11"	106807000	106973000	"TAD 448"	166000
"449"	"chr11"	107060000	107128000	"TAD 449"	68000
"450"	"chr11"	107217000	107474000	"TAD 450"	257000
"451"	"chr11"	107592000	108379000	"TAD 451"	787000
"452"	"chr11"	108487000	109202000	"TAD 452"	715000
"453"	"chr11"	109242000	110260000	"TAD 453"	1018000
"454"	"chr11"	110351000	111454000	"TAD 454"	1103000
"455"	"chr11"	111553000	113158000	"TAD 455"	1605000
"456"	"chr11"	113179000	113621000	"TAD 456"	442000
"457"	"chr11"	113657000	114626000	"TAD 457"	969000
"458"	"chr11"	114724000	114925000	"TAD 458"	201000
"459"	"chr11"	115087000	115523000	"TAD 459"	436000
"460"	"chr11"	115609000	116011000	"TAD 460"	402000
"461"	"chr11"	116133000	116824000	"TAD 461"	691000
"462"	"chr11"	116855000	117827000	"TAD 462"	972000
"463"	"chr11"	117860000	118381000	"TAD 463"	521000
"464"	"chr11"	118427000	119217000	"TAD 464"	790000
"465"	"chr11"	119277000	120298000	"TAD 465"	1021000
"466"	"chr11"	120475000	121327000	"TAD 466"	852000
"467"	"chr11"	121366000	122082543	"TAD 467"	716543
"468"	"chr12"	0	3261000	"TAD 468"	3261000
"469"	"chr12"	3266000	3383000	"TAD 469"	117000
"470"	"chr12"	3609000	4978000	"TAD 470"	1369000
"471"	"chr12"	5086000	8292000	"TAD 471"	3206000
"472"	"chr12"	8320000	8527000	"TAD 472"	207000
"473"	"chr12"	8740000	8994000	"TAD 473"	254000
"474"	"chr12"	9114000	9580000	"TAD 474"	466000
"475"	"chr12"	9662000	10555000	"TAD 475"	893000
"476"	"chr12"	10633000	11167000	"TAD 476"	534000
