"chr"	"start"	"end"	"TAD"	"Length"
"108"	"chr11"	10800000	12320000	"TAD 108"	1520000
"109"	"chr11"	12320000	13400000	"TAD 109"	1080000
"110"	"chr11"	13720000	14520000	"TAD 110"	800000
"111"	"chr11"	14520000	16760000	"TAD 111"	2240000
"112"	"chr11"	16800000	17120000	"TAD 112"	320000
"113"	"chr11"	17120000	17560000	"TAD 113"	440000
"114"	"chr11"	17600000	18000000	"TAD 114"	400000
"115"	"chr11"	19040000	20400000	"TAD 115"	1360000
"116"	"chr11"	20440000	22840000	"TAD 116"	2400000
"117"	"chr11"	22840000	26280000	"TAD 117"	3440000
"118"	"chr11"	26320000	27520000	"TAD 118"	1200000
"119"	"chr11"	27560000	29360000	"TAD 119"	1800000
"120"	"chr11"	29400000	30200000	"TAD 120"	800000
"121"	"chr11"	30360000	30960000	"TAD 121"	600000
"122"	"chr11"	31120000	32680000	"TAD 122"	1560000
"123"	"chr11"	32720000	33840000	"TAD 123"	1120000
"124"	"chr11"	34160000	35480000	"TAD 124"	1320000
"125"	"chr11"	35480000	36520000	"TAD 125"	1040000
"126"	"chr11"	36800000	39400000	"TAD 126"	2600000
"127"	"chr11"	39520000	40200000	"TAD 127"	680000
"128"	"chr11"	40320000	41480000	"TAD 128"	1160000
"129"	"chr11"	41480000	43360000	"TAD 129"	1880000
"130"	"chr11"	43480000	44080000	"TAD 130"	600000
"131"	"chr11"	44120000	45360000	"TAD 131"	1240000
"132"	"chr11"	45360000	45880000	"TAD 132"	520000
"133"	"chr11"	45920000	46360000	"TAD 133"	440000
"134"	"chr11"	46360000	47400000	"TAD 134"	1040000
"135"	"chr11"	47880000	50640000	"TAD 135"	2760000
"136"	"chr11"	50640000	51600000	"TAD 136"	960000
"137"	"chr11"	54800000	57040000	"TAD 137"	2240000
"138"	"chr11"	57080000	58360000	"TAD 138"	1280000
"139"	"chr11"	58400000	59280000	"TAD 139"	880000
"140"	"chr11"	59560000	60480000	"TAD 140"	920000
"141"	"chr11"	60560000	61000000	"TAD 141"	440000
"142"	"chr11"	61000000	61480000	"TAD 142"	480000
"143"	"chr11"	61560000	62320000	"TAD 143"	760000
"144"	"chr11"	62640000	63520000	"TAD 144"	880000
"145"	"chr11"	63760000	63960000	"TAD 145"	200000
"146"	"chr11"	64080000	64520000	"TAD 146"	440000
"147"	"chr11"	64560000	65280000	"TAD 147"	720000
"148"	"chr11"	65400000	65960000	"TAD 148"	560000
"149"	"chr11"	66240000	67040000	"TAD 149"	800000
"150"	"chr11"	67360000	67760000	"TAD 150"	400000
"151"	"chr11"	67800000	69520000	"TAD 151"	1720000
"152"	"chr11"	69760000	70080000	"TAD 152"	320000
"153"	"chr11"	70280000	72160000	"TAD 153"	1880000
"154"	"chr11"	72520000	73040000	"TAD 154"	520000
"155"	"chr11"	73120000	73400000	"TAD 155"	280000
"156"	"chr11"	73680000	74600000	"TAD 156"	920000
"157"	"chr11"	74600000	76400000	"TAD 157"	1800000
"158"	"chr11"	76880000	77760000	"TAD 158"	880000
"159"	"chr11"	77920000	81040000	"TAD 159"	3120000
"160"	"chr11"	81320000	82400000	"TAD 160"	1080000
"161"	"chr11"	82560000	83520000	"TAD 161"	960000
"162"	"chr11"	83520000	84080000	"TAD 162"	560000
"163"	"chr11"	84280000	86040000	"TAD 163"	1760000
"164"	"chr11"	86120000	86560000	"TAD 164"	440000
"165"	"chr11"	86640000	87000000	"TAD 165"	360000
"166"	"chr11"	87160000	88800000	"TAD 166"	1640000
"167"	"chr11"	88800000	89480000	"TAD 167"	680000
"168"	"chr11"	89880000	93480000	"TAD 168"	3600000
"169"	"chr11"	93520000	94240000	"TAD 169"	720000
"170"	"chr11"	94240000	94680000	"TAD 170"	440000
"171"	"chr11"	94840000	95520000	"TAD 171"	680000
"172"	"chr11"	95560000	96160000	"TAD 172"	600000
"173"	"chr11"	96160000	98920000	"TAD 173"	2760000
"174"	"chr11"	98960000	99640000	"TAD 174"	680000
"175"	"chr11"	99640000	101160000	"TAD 175"	1520000
"176"	"chr11"	101280000	102560000	"TAD 176"	1280000
"177"	"chr11"	102600000	104040000	"TAD 177"	1440000
"178"	"chr11"	104080000	105880000	"TAD 178"	1800000
"179"	"chr11"	106000000	107320000	"TAD 179"	1320000
"180"	"chr11"	107440000	108560000	"TAD 180"	1120000
"181"	"chr11"	108560000	109680000	"TAD 181"	1120000
"182"	"chr11"	110040000	111360000	"TAD 182"	1320000
"183"	"chr11"	111440000	111720000	"TAD 183"	280000
"184"	"chr11"	112000000	113640000	"TAD 184"	1640000
"185"	"chr11"	113760000	114160000	"TAD 185"	400000
"186"	"chr11"	114160000	116600000	"TAD 186"	2440000
"187"	"chr11"	116640000	117040000	"TAD 187"	400000
"188"	"chr11"	117160000	118480000	"TAD 188"	1320000
"189"	"chr11"	118520000	118880000	"TAD 189"	360000
"190"	"chr11"	118960000	120200000	"TAD 190"	1240000
"191"	"chr11"	120320000	121120000	"TAD 191"	800000
"192"	"chr11"	121120000	122720000	"TAD 192"	1600000
"193"	"chr11"	122960000	124520000	"TAD 193"	1560000
"194"	"chr11"	124840000	125360000	"TAD 194"	520000
"195"	"chr11"	125440000	125760000	"TAD 195"	320000
"196"	"chr11"	125800000	126160000	"TAD 196"	360000
"197"	"chr11"	126160000	127880000	"TAD 197"	1720000
"198"	"chr11"	128040000	128840000	"TAD 198"	800000
"199"	"chr11"	128880000	129640000	"TAD 199"	760000
"200"	"chr11"	129720000	130040000	"TAD 200"	320000
"201"	"chr11"	130040000	130800000	"TAD 201"	760000
"202"	"chr11"	130800000	131560000	"TAD 202"	760000
"203"	"chr11"	131560000	132920000	"TAD 203"	1360000
"204"	"chr11"	132920000	134040000	"TAD 204"	1120000
"205"	"chr11"	134200000	134880000	"TAD 205"	680000
"206"	"chr12"	80000	1720000	"TAD 206"	1640000
"207"	"chr12"	1920000	2920000	"TAD 207"	1000000
"208"	"chr12"	3160000	3920000	"TAD 208"	760000
"209"	"chr12"	3960000	4400000	"TAD 209"	440000
"210"	"chr12"	4440000	6600000	"TAD 210"	2160000
"211"	"chr12"	6720000	7000000	"TAD 211"	280000
"212"	"chr12"	7000000	8360000	"TAD 212"	1360000
"213"	"chr12"	8640000	9880000	"TAD 213"	1240000
"214"	"chr12"	9880000	10840000	"TAD 214"	960000
"215"	"chr12"	10920000	11680000	"TAD 215"	760000
"216"	"chr12"	11680000	12200000	"TAD 216"	520000
"217"	"chr12"	12200000	12520000	"TAD 217"	320000
"218"	"chr12"	12520000	12920000	"TAD 218"	400000
"219"	"chr12"	12920000	14320000	"TAD 219"	1400000
"220"	"chr12"	14320000	14800000	"TAD 220"	480000
"221"	"chr12"	14920000	15680000	"TAD 221"	760000
"222"	"chr12"	15720000	16080000	"TAD 222"	360000
"223"	"chr12"	16120000	17040000	"TAD 223"	920000
"224"	"chr12"	17080000	18160000	"TAD 224"	1080000
"225"	"chr12"	18280000	19480000	"TAD 225"	1200000
"226"	"chr12"	19880000	21400000	"TAD 226"	1520000
"227"	"chr12"	21400000	22160000	"TAD 227"	760000
"228"	"chr12"	22200000	22640000	"TAD 228"	440000
"229"	"chr12"	22840000	25000000	"TAD 229"	2160000
"230"	"chr12"	25080000	27840000	"TAD 230"	2760000
"231"	"chr12"	27840000	29160000	"TAD 231"	1320000
"232"	"chr12"	29280000	31000000	"TAD 232"	1720000
"233"	"chr12"	31000000	31400000	"TAD 233"	400000
"234"	"chr12"	31520000	31800000	"TAD 234"	280000
"235"	"chr12"	31800000	32880000	"TAD 235"	1080000
"236"	"chr12"	32880000	34200000	"TAD 236"	1320000
"237"	"chr12"	34200000	34720000	"TAD 237"	520000
"238"	"chr12"	34720000	38720000	"TAD 238"	4000000
"239"	"chr12"	38720000	39680000	"TAD 239"	960000
"240"	"chr12"	39720000	40120000	"TAD 240"	400000
"241"	"chr12"	40160000	41320000	"TAD 241"	1160000
"242"	"chr12"	41360000	42480000	"TAD 242"	1120000
"243"	"chr12"	42520000	42840000	"TAD 243"	320000
"244"	"chr12"	42960000	43800000	"TAD 244"	840000
"245"	"chr12"	43800000	44120000	"TAD 245"	320000
"246"	"chr12"	44320000	45360000	"TAD 246"	1040000
"247"	"chr12"	45520000	46320000	"TAD 247"	800000
"248"	"chr12"	46400000	47400000	"TAD 248"	1000000
"249"	"chr12"	47440000	48080000	"TAD 249"	640000
"250"	"chr12"	48080000	49040000	"TAD 250"	960000
"251"	"chr12"	49720000	49960000	"TAD 251"	240000
"252"	"chr12"	51200000	51760000	"TAD 252"	560000
"253"	"chr12"	51760000	52240000	"TAD 253"	480000
"254"	"chr12"	52400000	53440000	"TAD 254"	1040000
"255"	"chr12"	53920000	54600000	"TAD 255"	680000
"256"	"chr12"	55000000	55360000	"TAD 256"	360000
"257"	"chr12"	55560000	56400000	"TAD 257"	840000
"258"	"chr12"	57040000	58160000	"TAD 258"	1120000
"259"	"chr12"	58320000	59560000	"TAD 259"	1240000
"260"	"chr12"	59800000	62680000	"TAD 260"	2880000
"261"	"chr12"	62800000	63480000	"TAD 261"	680000
"262"	"chr12"	63480000	64200000	"TAD 262"	720000
"263"	"chr12"	64200000	64840000	"TAD 263"	640000
"264"	"chr12"	64920000	65120000	"TAD 264"	200000
"265"	"chr12"	65200000	67080000	"TAD 265"	1880000
"266"	"chr12"	67720000	69160000	"TAD 266"	1440000
"267"	"chr12"	69240000	69480000	"TAD 267"	240000
"268"	"chr12"	69680000	70040000	"TAD 268"	360000
"269"	"chr12"	70080000	72160000	"TAD 269"	2080000
"270"	"chr12"	72360000	75000000	"TAD 270"	2640000
"271"	"chr12"	75080000	75720000	"TAD 271"	640000
"272"	"chr12"	75880000	77000000	"TAD 272"	1120000
"273"	"chr12"	77440000	78360000	"TAD 273"	920000
"274"	"chr12"	78520000	79760000	"TAD 274"	1240000
"275"	"chr12"	79800000	80640000	"TAD 275"	840000
"276"	"chr12"	80800000	81680000	"TAD 276"	880000
"277"	"chr12"	81800000	82800000	"TAD 277"	1000000
"278"	"chr12"	83000000	83800000	"TAD 278"	800000
"279"	"chr12"	83840000	85440000	"TAD 279"	1600000
"280"	"chr12"	85440000	86320000	"TAD 280"	880000
"281"	"chr12"	86360000	87320000	"TAD 281"	960000
"282"	"chr12"	87320000	88440000	"TAD 282"	1120000
"283"	"chr12"	88480000	89400000	"TAD 283"	920000
"284"	"chr12"	89400000	89920000	"TAD 284"	520000
"285"	"chr12"	89920000	91360000	"TAD 285"	1440000
"286"	"chr12"	91360000	91760000	"TAD 286"	400000
"287"	"chr12"	91760000	93080000	"TAD 287"	1320000
"288"	"chr12"	93160000	93840000	"TAD 288"	680000
"289"	"chr12"	93880000	94520000	"TAD 289"	640000
"290"	"chr12"	94520000	95880000	"TAD 290"	1360000
"291"	"chr12"	96000000	96280000	"TAD 291"	280000
"292"	"chr12"	96400000	96920000	"TAD 292"	520000
"293"	"chr12"	96960000	98880000	"TAD 293"	1920000
"294"	"chr12"	99080000	99400000	"TAD 294"	320000
"295"	"chr12"	99400000	100160000	"TAD 295"	760000
"296"	"chr12"	100720000	101120000	"TAD 296"	400000
"297"	"chr12"	101160000	101760000	"TAD 297"	600000
"298"	"chr12"	101800000	103240000	"TAD 298"	1440000
"299"	"chr12"	103320000	104120000	"TAD 299"	800000
"300"	"chr12"	104360000	105480000	"TAD 300"	1120000
"301"	"chr12"	105640000	106600000	"TAD 301"	960000
"302"	"chr12"	106720000	107360000	"TAD 302"	640000
"303"	"chr12"	107480000	108080000	"TAD 303"	600000
"304"	"chr12"	108080000	108920000	"TAD 304"	840000
"305"	"chr12"	109000000	109840000	"TAD 305"	840000
"306"	"chr12"	109840000	110280000	"TAD 306"	440000
"307"	"chr12"	110480000	110880000	"TAD 307"	400000
"308"	"chr12"	110880000	111320000	"TAD 308"	440000
"309"	"chr12"	111320000	112880000	"TAD 309"	1560000
"310"	"chr12"	112920000	113400000	"TAD 310"	480000
"311"	"chr12"	113640000	114360000	"TAD 311"	720000
"312"	"chr12"	114400000	116400000	"TAD 312"	2000000
"313"	"chr12"	116400000	117600000	"TAD 313"	1200000
"314"	"chr12"	117600000	118480000	"TAD 314"	880000
"315"	"chr12"	118520000	120640000	"TAD 315"	2120000
"316"	"chr12"	120760000	122680000	"TAD 316"	1920000
"317"	"chr12"	122760000	124240000	"TAD 317"	1480000
"318"	"chr12"	124240000	125400000	"TAD 318"	1160000
"319"	"chr12"	125440000	128720000	"TAD 319"	3280000
"320"	"chr12"	128720000	130520000	"TAD 320"	1800000
"321"	"chr12"	130520000	130840000	"TAD 321"	320000
"322"	"chr12"	130880000	131240000	"TAD 322"	360000
"323"	"chr12"	131240000	132520000	"TAD 323"	1280000
"324"	"chr12"	132600000	133851895	"TAD 324"	1251895
"325"	"chr13"	19240000	20200000	"TAD 325"	960000
"326"	"chr13"	20240000	21520000	"TAD 326"	1280000
"327"	"chr13"	22120000	22880000	"TAD 327"	760000
"328"	"chr13"	22880000	23680000	"TAD 328"	800000
"329"	"chr13"	23960000	24480000	"TAD 329"	520000
"330"	"chr13"	24480000	25120000	"TAD 330"	640000
"331"	"chr13"	25280000	26720000	"TAD 331"	1440000
"332"	"chr13"	26720000	27280000	"TAD 332"	560000
"333"	"chr13"	27280000	27920000	"TAD 333"	640000
"334"	"chr13"	27920000	28600000	"TAD 334"	680000
"335"	"chr13"	28880000	29240000	"TAD 335"	360000
"336"	"chr13"	29360000	30000000	"TAD 336"	640000
"337"	"chr13"	30080000	30280000	"TAD 337"	200000
"338"	"chr13"	30320000	31760000	"TAD 338"	1440000
"339"	"chr13"	31760000	32400000	"TAD 339"	640000
"340"	"chr13"	32440000	34360000	"TAD 340"	1920000
"341"	"chr13"	34360000	36360000	"TAD 341"	2000000
"342"	"chr13"	36520000	37560000	"TAD 342"	1040000
"343"	"chr13"	37600000	39520000	"TAD 343"	1920000
"344"	"chr13"	39520000	40240000	"TAD 344"	720000
"345"	"chr13"	40280000	41600000	"TAD 345"	1320000
"346"	"chr13"	41640000	42800000	"TAD 346"	1160000
"347"	"chr13"	42840000	44440000	"TAD 347"	1600000
"348"	"chr13"	44480000	45040000	"TAD 348"	560000
"349"	"chr13"	45040000	45560000	"TAD 349"	520000
"350"	"chr13"	45560000	45920000	"TAD 350"	360000
"351"	"chr13"	46080000	47320000	"TAD 351"	1240000
"352"	"chr13"	47320000	48360000	"TAD 352"	1040000
"353"	"chr13"	48680000	49760000	"TAD 353"	1080000
"354"	"chr13"	49840000	50200000	"TAD 354"	360000
"355"	"chr13"	50200000	51680000	"TAD 355"	1480000
"356"	"chr13"	51680000	52840000	"TAD 356"	1160000
"357"	"chr13"	53200000	55880000	"TAD 357"	2680000
"358"	"chr13"	55920000	58160000	"TAD 358"	2240000
"359"	"chr13"	58200000	59880000	"TAD 359"	1680000
"360"	"chr13"	59960000	61000000	"TAD 360"	1040000
"361"	"chr13"	61040000	62600000	"TAD 361"	1560000
"362"	"chr13"	62600000	66240000	"TAD 362"	3640000
"363"	"chr13"	66240000	67880000	"TAD 363"	1640000
"364"	"chr13"	68040000	70080000	"TAD 364"	2040000
"365"	"chr13"	70120000	71160000	"TAD 365"	1040000
"366"	"chr13"	71160000	73280000	"TAD 366"	2120000
"367"	"chr13"	73360000	74280000	"TAD 367"	920000
"368"	"chr13"	74320000	75880000	"TAD 368"	1560000
"369"	"chr13"	76040000	77560000	"TAD 369"	1520000
"370"	"chr13"	77600000	78160000	"TAD 370"	560000
"371"	"chr13"	78320000	79960000	"TAD 371"	1640000
"372"	"chr13"	80160000	81600000	"TAD 372"	1440000
"373"	"chr13"	81600000	82920000	"TAD 373"	1320000
"374"	"chr13"	84000000	85400000	"TAD 374"	1400000
"375"	"chr13"	85400000	86440000	"TAD 375"	1040000
"376"	"chr13"	86520000	91760000	"TAD 376"	5240000
"377"	"chr13"	92000000	95080000	"TAD 377"	3080000
"378"	"chr13"	95280000	96120000	"TAD 378"	840000
"379"	"chr13"	96240000	97680000	"TAD 379"	1440000
"380"	"chr13"	97760000	98480000	"TAD 380"	720000
"381"	"chr13"	98480000	99800000	"TAD 381"	1320000
"382"	"chr13"	100160000	101240000	"TAD 382"	1080000
"383"	"chr13"	101360000	103480000	"TAD 383"	2120000
"384"	"chr13"	103520000	106640000	"TAD 384"	3120000
"385"	"chr13"	106720000	107800000	"TAD 385"	1080000
"386"	"chr13"	107840000	108880000	"TAD 386"	1040000
"387"	"chr13"	108880000	109560000	"TAD 387"	680000
"388"	"chr13"	109560000	110800000	"TAD 388"	1240000
"389"	"chr13"	110800000	115169878	"TAD 389"	4369878
"390"	"chr14"	19440000	20760000	"TAD 390"	1320000
"391"	"chr14"	20760000	21600000	"TAD 391"	840000
"392"	"chr14"	21680000	23400000	"TAD 392"	1720000
"393"	"chr14"	24040000	24960000	"TAD 393"	920000
"394"	"chr14"	24960000	25880000	"TAD 394"	920000
"395"	"chr14"	25880000	29160000	"TAD 395"	3280000
"396"	"chr14"	29160000	30000000	"TAD 396"	840000
"397"	"chr14"	30000000	31040000	"TAD 397"	1040000
"398"	"chr14"	31160000	31880000	"TAD 398"	720000
"399"	"chr14"	31880000	33040000	"TAD 399"	1160000
"400"	"chr14"	33040000	35040000	"TAD 400"	2000000
"401"	"chr14"	35040000	36320000	"TAD 401"	1280000
"402"	"chr14"	36320000	37640000	"TAD 402"	1320000
"403"	"chr14"	37680000	38080000	"TAD 403"	400000
"404"	"chr14"	38360000	39880000	"TAD 404"	1520000
"405"	"chr14"	39920000	42080000	"TAD 405"	2160000
"406"	"chr14"	42560000	45360000	"TAD 406"	2800000
"407"	"chr14"	45360000	48040000	"TAD 407"	2680000
"408"	"chr14"	48360000	50080000	"TAD 408"	1720000
"409"	"chr14"	50080000	52240000	"TAD 409"	2160000
"410"	"chr14"	53240000	54960000	"TAD 410"	1720000
"411"	"chr14"	54960000	55320000	"TAD 411"	360000
"412"	"chr14"	55440000	56960000	"TAD 412"	1520000
"413"	"chr14"	56960000	57840000	"TAD 413"	880000
"414"	"chr14"	57920000	58560000	"TAD 414"	640000
"415"	"chr14"	58920000	59560000	"TAD 415"	640000
"416"	"chr14"	59600000	59960000	"TAD 416"	360000
"417"	"chr14"	59960000	60680000	"TAD 417"	720000
"418"	"chr14"	61080000	61760000	"TAD 418"	680000
"419"	"chr14"	61800000	62320000	"TAD 419"	520000
"420"	"chr14"	62320000	63800000	"TAD 420"	1480000
"421"	"chr14"	63920000	64240000	"TAD 421"	320000
"422"	"chr14"	64280000	64800000	"TAD 422"	520000
"423"	"chr14"	65240000	67840000	"TAD 423"	2600000
"424"	"chr14"	67880000	68200000	"TAD 424"	320000
"425"	"chr14"	68280000	69320000	"TAD 425"	1040000
"426"	"chr14"	69320000	69920000	"TAD 426"	600000
"427"	"chr14"	70040000	71080000	"TAD 427"	1040000
"428"	"chr14"	71520000	72240000	"TAD 428"	720000
"429"	"chr14"	72400000	72920000	"TAD 429"	520000
"430"	"chr14"	72960000	74560000	"TAD 430"	1600000
"431"	"chr14"	74760000	74960000	"TAD 431"	200000
"432"	"chr14"	75360000	76000000	"TAD 432"	640000
"433"	"chr14"	76120000	77320000	"TAD 433"	1200000
"434"	"chr14"	77320000	77560000	"TAD 434"	240000
"435"	"chr14"	78280000	79360000	"TAD 435"	1080000
"436"	"chr14"	79360000	81960000	"TAD 436"	2600000
"437"	"chr14"	82000000	83720000	"TAD 437"	1720000
"438"	"chr14"	84040000	86520000	"TAD 438"	2480000
"439"	"chr14"	86520000	87400000	"TAD 439"	880000
"440"	"chr14"	87560000	88360000	"TAD 440"	800000
"441"	"chr14"	88400000	89400000	"TAD 441"	1000000
"442"	"chr14"	89480000	90720000	"TAD 442"	1240000
"443"	"chr14"	90720000	91240000	"TAD 443"	520000
"444"	"chr14"	91360000	91640000	"TAD 444"	280000
"445"	"chr14"	91920000	92440000	"TAD 445"	520000
"446"	"chr14"	92520000	93040000	"TAD 446"	520000
"447"	"chr14"	93280000	93640000	"TAD 447"	360000
"448"	"chr14"	93680000	94440000	"TAD 448"	760000
"449"	"chr14"	95120000	96000000	"TAD 449"	880000
"450"	"chr14"	96000000	96960000	"TAD 450"	960000
"451"	"chr14"	97040000	99920000	"TAD 451"	2880000
"452"	"chr14"	100160000	100440000	"TAD 452"	280000
"453"	"chr14"	100720000	102440000	"TAD 453"	1720000
"454"	"chr14"	102840000	103440000	"TAD 454"	600000
"455"	"chr14"	103520000	103840000	"TAD 455"	320000
"456"	"chr14"	104200000	105960000	"TAD 456"	1760000
"457"	"chr14"	105960000	107080000	"TAD 457"	1120000
"458"	"chr15"	20000000	22600000	"TAD 458"	2600000
"459"	"chr15"	22720000	23240000	"TAD 459"	520000
"460"	"chr15"	23600000	27120000	"TAD 460"	3520000
"461"	"chr15"	27120000	28560000	"TAD 461"	1440000
"462"	"chr15"	28960000	30400000	"TAD 462"	1440000
"463"	"chr15"	30920000	32520000	"TAD 463"	1600000
"464"	"chr15"	32920000	34320000	"TAD 464"	1400000
"465"	"chr15"	34320000	36720000	"TAD 465"	2400000
"466"	"chr15"	36800000	38200000	"TAD 466"	1400000
"467"	"chr15"	38240000	38720000	"TAD 467"	480000
"468"	"chr15"	38760000	39000000	"TAD 468"	240000
"469"	"chr15"	39000000	40000000	"TAD 469"	1000000
"470"	"chr15"	40320000	40600000	"TAD 470"	280000
"471"	"chr15"	40880000	41560000	"TAD 471"	680000
"472"	"chr15"	41800000	42760000	"TAD 472"	960000
