,GeneID,Chromosome,Start,End,Strand,RT_ESC_RANK_median,probe_dist,FamilyAge,GeneAge,BirthType,GeneAge_GROUPED
ENSG00000002834,ENSG00000002834,17,37026112,37078023,1,0.0461769531924028,2.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000002919,ENSG00000002919,17,46180719,46200436,1,0.0112509766713744,249.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000002933,ENSG00000002933,7,150497491,150502208,1,0.448797208096114,66.5,Mammalia,Theria,Duplicate,Middle
ENSG00000003056,ENSG00000003056,12,9092959,9102551,-1,0.276854588493481,378,Chordata,Chordata,Singleton,Old
ENSG00000003096,ENSG00000003096,X,117031776,117251303,-1,0.74162398765034,65.5,Chordata,Eutheria,Duplicate,Middle
ENSG00000003137,ENSG00000003137,2,72356367,72375167,-1,0.469366867143549,252,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000003147,ENSG00000003147,7,8152814,8302317,-1,0.143408665208849,390.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000003249,ENSG00000003249,16,90071273,90086536,-1,0.122262833658466,172.5,Euteleostomi,Euteleostomi,Singleton,Old
ENSG00000003393,ENSG00000003393,2,202565277,202645912,-1,0.102943128928948,999.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000003400,ENSG00000003400,2,202047604,202094129,1,0.135585695193412,0.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000003402,ENSG00000003402,2,201980827,202041410,1,0.165946123360592,448.5,Euteleostomi,Euteleostomi,Singleton,Old
ENSG00000003436,ENSG00000003436,2,188328957,188430487,-1,0.149786346631484,4958,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000003509,ENSG00000003509,2,37458774,37480546,1,0.113481233800208,115,Bilateria,Bilateria,Singleton,Old
ENSG00000003756,ENSG00000003756,3,50126341,50156454,1,0.10154259721263,250.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000003987,ENSG00000003987,8,17155539,17271037,-1,0.490277233576308,936,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000003989,ENSG00000003989,8,17354597,17428082,1,0.384609833374891,182.5,Chordata,Euteleostomi,Duplicate,Old
ENSG00000004059,ENSG00000004059,7,127228399,127231759,1,0.163395675306093,204,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000004139,ENSG00000004139,17,26691378,26728065,1,0.0980842900356621,329.5,Bilateria,Bilateria,Singleton,Old
ENSG00000004399,ENSG00000004399,3,129274018,129325661,-1,0.112356298044252,88.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000004455,ENSG00000004455,1,33473585,33546597,-1,0.0319446134231771,891,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000004468,ENSG00000004468,4,15779898,15854853,1,0.335213738950141,823.5,Euteleostomi,Tetrapoda,Duplicate,Middle
ENSG00000004478,ENSG00000004478,12,2904119,2914576,1,0.0568634380960355,519.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000004487,ENSG00000004487,1,23345941,23410182,1,0.0542168841904834,329.5,Bilateria,Bilateria,Duplicate,Old
ENSG00000004534,ENSG00000004534,3,49977440,50137478,1,0.0362353753725691,177,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000004660,ENSG00000004660,17,3763609,3798185,-1,0.0449555646328618,155,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000004700,ENSG00000004700,12,21621845,21654603,-1,0.601527793904646,512,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000004766,ENSG00000004766,7,92861653,92988338,1,0.386260864818505,162.5,Bilateria,Bilateria,Singleton,Old
ENSG00000004776,ENSG00000004776,19,36245469,36248980,-1,0.114972667079617,205.5,Chordata,Euteleostomi,Duplicate,Old
ENSG00000004777,ENSG00000004777,19,36265434,36279724,1,0.131193970057534,476,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000004779,ENSG00000004779,16,23592323,23607677,-1,0.342185634407329,100,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000004799,ENSG00000004799,7,95212811,95225803,-1,0.7013950729965,611,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000004809,ENSG00000004809,6,110745890,110797844,-1,0.343558872524552,188,Bilateria,Bilateria,Duplicate,Old
ENSG00000004838,ENSG00000004838,3,50378541,50384283,-1,0.0846905345335734,601,Bilateria,Bilateria,Singleton,Old
ENSG00000004846,ENSG00000004846,7,20654830,20816658,1,0.222715999924133,782,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000004848,ENSG00000004848,X,25021811,25034065,-1,0.165625654872902,124,Bilateria,Bilateria,Duplicate,Old
ENSG00000004864,ENSG00000004864,7,95749532,95951459,-1,0.662641631805648,547.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000004866,ENSG00000004866,7,116593292,116870157,1,0.357197113910067,215.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000004897,ENSG00000004897,17,45195069,45266788,-1,0.0860224852996214,235.5,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000004939,ENSG00000004939,17,42325753,42345509,-1,0.0272144939188474,529,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000004948,ENSG00000004948,7,93053799,93204042,-1,0.314572145077969,316.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000004961,ENSG00000004961,X,11129421,11141198,1,0.505203478407294,28.5,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000004975,ENSG00000004975,17,7128660,7137864,-1,0.0697469420760437,95,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000005001,ENSG00000005001,16,2902728,2908171,-1,0.0170642819771113,834.5,Bilateria,Mammalia,Duplicate,Middle
ENSG00000005007,ENSG00000005007,19,18942747,18979045,1,0.0417150279944432,57,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000005020,ENSG00000005020,7,26706681,27034858,-1,0.393913596792123,285.5,Chordata,Euteleostomi,Duplicate,Old
ENSG00000005022,ENSG00000005022,X,118602363,118605282,1,0.188062034187314,387.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000005059,ENSG00000005059,4,110481361,110609874,1,0.267001020965647,24.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000005073,ENSG00000005073,7,27221129,27224842,-1,0.152663045715853,87.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000005100,ENSG00000005100,17,5344232,5372380,-1,0.266650367607771,477,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000005102,ENSG00000005102,17,41717756,41739322,-1,0.0728702087590248,681,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000005108,ENSG00000005108,7,11409984,11871824,-1,0.889224417686437,413,Bilateria,Chordata,Duplicate,Old
ENSG00000005156,ENSG00000005156,17,33307513,33332083,1,0.354610698443201,589,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000005175,ENSG00000005175,12,48057070,48099844,-1,0.0992484314276078,953,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000005187,ENSG00000005187,16,20621565,20808903,1,0.500928907576009,432,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000005189,ENSG00000005189,16,20817751,20860987,1,0.422819252997323,390,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000005194,ENSG00000005194,16,57462081,57481440,-1,0.163102847370031,632.5,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000005238,ENSG00000005238,9,35104109,35116338,-1,0.329728882040303,632.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000005243,ENSG00000005243,17,46103533,46115392,-1,0.0276657635106785,454.5,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000005249,ENSG00000005249,7,106685094,106802256,1,0.362035945207406,713,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000005302,ENSG00000005302,X,11776278,11793870,1,0.682844677678786,67,Bilateria,Bilateria,Singleton,Old
ENSG00000005339,ENSG00000005339,16,3775055,3930727,-1,0.0563516831129876,121,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000005379,ENSG00000005379,17,56378592,56406152,-1,0.186504332974507,256,Bilateria,Chordata,Duplicate,Old
ENSG00000005381,ENSG00000005381,17,56347217,56358296,-1,0.166463776536664,3.5,Bilateria,Mammalia,Duplicate,Middle
ENSG00000005421,ENSG00000005421,7,94926988,95025673,-1,0.627159374726775,275.5,Bilateria,Theria,Duplicate,Middle
ENSG00000005436,ENSG00000005436,2,75879126,75938115,-1,0.471126379078485,522.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000005448,ENSG00000005448,2,74648805,74652882,1,0.0353003383018477,499.5,Bilateria,Bilateria,Singleton,Old
ENSG00000005469,ENSG00000005469,7,86974997,87029111,1,0.586642142519773,396,Bilateria,Bilateria,Duplicate,Old
ENSG00000005471,ENSG00000005471,7,87031013,87109751,-1,0.631600482772881,1253,Fungi-Metazoa_group,Mammalia,Duplicate,Middle
ENSG00000005483,ENSG00000005483,7,104654626,104754808,1,0.212542657813671,921,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000005486,ENSG00000005486,7,75471920,75518244,1,0.133495074893173,288,Euteleostomi,Euteleostomi,Singleton,Old
ENSG00000005513,ENSG00000005513,16,1031808,1036979,1,0.383927030794119,97.5,Bilateria,Bilateria,Duplicate,Old
ENSG00000005700,ENSG00000005700,6,82879700,82957471,-1,0.536551680429888,250.5,Bilateria,Bilateria,Duplicate,Old
ENSG00000005801,ENSG00000005801,11,3360491,3400448,-1,0.170097641694257,863.5,Euteleostomi,Simiiformes,Duplicate,Recent
ENSG00000005810,ENSG00000005810,13,77618792,77901185,-1,0.566367046171055,756.5,Bilateria,Bilateria,Singleton,Old
ENSG00000005812,ENSG00000005812,13,77566740,77601330,-1,0.528248875064244,645,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000005844,ENSG00000005844,16,30483979,30534506,1,0.04468540426215,1621.5,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000005882,ENSG00000005882,17,48172101,48189516,1,0.104252759082176,54.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000005884,ENSG00000005884,17,48133332,48167845,1,0.0957579733161119,301.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000005893,ENSG00000005893,X,119561682,119603220,-1,0.367954492780843,46,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000005955,ENSG00000005955,17,34900737,34946278,1,0.300764822159072,74.5,Bilateria,Bilateria,Singleton,Old
ENSG00000005961,ENSG00000005961,17,42449548,42466873,-1,0.0580935004688485,219.5,Bilateria,Bilateria,Duplicate,Old
ENSG00000005981,ENSG00000005981,7,95107756,95169544,1,0.646837944024067,15,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000006007,ENSG00000006007,16,19513015,19533467,-1,0.295464890948194,475,Bilateria,Bilateria,Singleton,Old
ENSG00000006015,ENSG00000006015,19,18699495,18703146,1,0.163483454296406,498.5,Euteleostomi,Euteleostomi,Singleton,Old
ENSG00000006016,ENSG00000006016,19,18683030,18718551,-1,0.162828754870636,92.5,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000006025,ENSG00000006025,17,45884738,45899200,-1,0.0311113490948471,402,Chordata,Euteleostomi,Duplicate,Old
ENSG00000006042,ENSG00000006042,17,31254928,31272124,1,0.285279636800838,37,Bilateria,Bilateria,Singleton,Old
ENSG00000006047,ENSG00000006047,17,7191571,7197934,-1,0.0747777537738027,398.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000006059,ENSG00000006059,17,39502344,39507064,-1,0.645086990251559,22,Mammalia,Catarrhini,Duplicate,Recent
ENSG00000006071,ENSG00000006071,11,17414432,17498449,-1,0.353655885078219,91.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000006074,ENSG00000006074,17,34391640,34399392,1,0.498996150677321,482,Euteleostomi,Simiiformes,Duplicate,Recent
ENSG00000006075,ENSG00000006075,17,34415602,34417515,-1,0.518966969656457,172.5,Euteleostomi,Hominoidea,Duplicate,Recent
ENSG00000006114,ENSG00000006114,17,35874900,35969544,-1,0.12300149559671,171,Bilateria,Bilateria,Singleton,Old
ENSG00000006116,ENSG00000006116,16,24266874,24374122,1,0.471245499447421,234,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000006118,ENSG00000006118,11,60691935,60704631,1,0.530334059774833,254,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000006125,ENSG00000006125,17,33905065,34053436,1,0.211310513725673,810.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000006128,ENSG00000006128,7,97361220,97369784,1,0.841712159853521,673,Euteleostomi,Euteleostomi,Singleton,Old
ENSG00000006194,ENSG00000006194,16,3313743,3351401,1,0.0654909910305831,181,Amniota,Mammalia,Duplicate,Middle
ENSG00000006210,ENSG00000006210,16,57406370,57418960,1,0.155991361344584,886,Mammalia,Mammalia,Singleton,Middle
ENSG00000006282,ENSG00000006282,17,48620419,48633213,1,0.0640788942299018,70,Bilateria,Bilateria,Singleton,Old
ENSG00000006283,ENSG00000006283,17,48638429,48704835,1,0.0806325777324015,89,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000006327,ENSG00000006327,16,3068446,3072384,1,0.233082478943451,420,Amniota,Amniota,Singleton,Middle
ENSG00000006377,ENSG00000006377,7,96634860,96640351,1,0.453711443743497,76.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000006432,ENSG00000006432,14,71189243,71276251,-1,0.0261167361111432,296,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000006451,ENSG00000006451,7,39663082,39747723,1,0.0963051174573097,58.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000006453,ENSG00000006453,7,97920963,98030380,-1,0.362900319612671,178.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000006459,ENSG00000006459,7,139784546,139876835,-1,0.189046454168264,314.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000006468,ENSG00000006468,7,13930853,14031050,-1,0.450022181831808,173.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000006530,ENSG00000006530,7,141250989,141355044,1,0.183663716953349,332.5,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000006555,ENSG00000006555,1,55245385,55266940,-1,0.118998935549635,633.5,Chordata,Chordata,Singleton,Old
ENSG00000006576,ENSG00000006576,7,77428122,77586818,1,0.256050042582641,349,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000006606,ENSG00000006606,7,75398851,75419214,-1,0.119109266454455,1659.5,Euteleostomi,Theria,Duplicate,Middle
ENSG00000006607,ENSG00000006607,2,242295658,242434256,1,0.135996833942505,818,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000006611,ENSG00000006611,11,17515442,17565963,-1,0.430012966772587,168.5,Bilateria,Bilateria,Duplicate,Old
ENSG00000006625,ENSG00000006625,7,30536237,30591095,-1,0.199295547581302,1538,Bilateria,Bilateria,Singleton,Old
ENSG00000006634,ENSG00000006634,7,87505531,87538856,1,0.503670063871647,378.5,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000006638,ENSG00000006638,19,3594504,3606838,-1,0.194256177721114,731,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000006652,ENSG00000006652,7,112063023,112121072,1,0.104141965573982,122.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000006659,ENSG00000006659,19,40194946,40200084,1,0.203751343284548,362,Theria,Simiiformes,Duplicate,Recent
ENSG00000006695,ENSG00000006695,17,13972813,14111994,1,0.555751108282035,288.5,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000006704,ENSG00000006704,7,73868120,74016931,1,0.0799776470049438,267.5,Euteleostomi,Sarcopterygii,Duplicate,Old
ENSG00000006712,ENSG00000006712,19,39876492,39881835,-1,0.175160141723169,100.5,Bilateria,Bilateria,Singleton,Old
ENSG00000006715,ENSG00000006715,7,38762563,38971994,-1,0.476501830290251,146.5,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000006740,ENSG00000006740,17,12692856,12894960,1,0.689456783361452,406,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000006744,ENSG00000006744,17,12895708,12921504,-1,0.748041221661496,255,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000006747,ENSG00000006747,7,12610203,12693228,1,0.271042324045337,484.5,Chordata,Euteleostomi,Duplicate,Old
ENSG00000006756,ENSG00000006756,X,2822011,2847392,-1,0.078404564229934,177.5,Bilateria,Sarcopterygii,Duplicate,Old
ENSG00000006757,ENSG00000006757,X,7866288,7895780,-1,0.554990357032659,175,Bilateria,Bilateria,Duplicate,Old
ENSG00000006788,ENSG00000006788,17,10201401,10276447,-1,0.484538870017241,679,Euteleostomi,Amniota,Duplicate,Middle
ENSG00000006831,ENSG00000006831,12,1797740,1897844,1,0.144413439738277,660,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000006837,ENSG00000006837,5,133541305,133706738,-1,0.0502598905757978,146.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000007001,ENSG00000007001,2,158733214,158992666,1,0.247152560579068,493,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000007038,ENSG00000007038,16,2867164,2876305,1,0.0084603218146635,23.5,Euteleostomi,Eutheria,Duplicate,Middle
ENSG00000007047,ENSG00000007047,19,45582546,45808541,1,0.0713533322940177,75.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000007062,ENSG00000007062,4,15964699,16086001,-1,0.307012280731783,370,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000007080,ENSG00000007080,19,18043825,18054800,1,0.093624446552888,393.5,Bilateria,Bilateria,Singleton,Old
ENSG00000007129,ENSG00000007129,19,42055886,42093197,1,0.208865076637188,473.5,Euteleostomi,Euteleostomi,Singleton,Old
ENSG00000007168,ENSG00000007168,17,2496504,2588909,1,0.0692849169557553,659.5,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000007171,ENSG00000007171,17,26083792,26127525,-1,0.306444435089577,39.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000007174,ENSG00000007174,17,11501748,11873065,1,0.58490090341813,458.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000007202,ENSG00000007202,17,26941458,26972472,-1,0.015669532802974,1230,Bilateria,Bilateria,Singleton,Old
ENSG00000007216,ENSG00000007216,17,26800311,26824799,1,0.0606433702691287,80,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000007237,ENSG00000007237,17,9813926,10101868,-1,0.521986381881861,340,Chordata,Chordata,Singleton,Old
ENSG00000007255,ENSG00000007255,19,45666186,45681495,-1,0.0580525600702047,285.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000007264,ENSG00000007264,19,3777971,3802127,-1,0.125897970975339,267,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000007306,ENSG00000007306,19,42177235,42210895,-1,0.177141471976182,156,Euteleostomi,Simiiformes,Duplicate,Recent
ENSG00000007312,ENSG00000007312,17,62006100,62009714,-1,0.165541461058742,267,Amniota,Amniota,Singleton,Middle
ENSG00000007314,ENSG00000007314,17,62015914,62050278,-1,0.179173688600389,136,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000007341,ENSG00000007341,1,113066140,113163447,-1,0.0881133369015476,586.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000007350,ENSG00000007350,X,153524024,153558700,1,0.185832170271349,20,Fungi-Metazoa_group,Eutheria,Duplicate,Middle
ENSG00000007372,ENSG00000007372,11,31806340,31839509,-1,0.285861476195124,300.5,Bilateria,Bilateria,Duplicate,Old
ENSG00000007376,ENSG00000007376,16,834974,838397,-1,0.18622283882112,13.5,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000007384,ENSG00000007384,16,108058,126354,-1,0.139894036071036,72,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000007392,ENSG00000007392,16,238968,279462,-1,0.054254817667193,922,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000007402,ENSG00000007402,3,50400233,50541675,-1,0.0263629567572244,74,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000007516,ENSG00000007516,16,1383602,1399439,1,0.204258587884696,464.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000007520,ENSG00000007520,16,1399241,1401912,-1,0.207234284091209,566.5,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000007541,ENSG00000007541,16,616995,634136,1,0.225013982186995,517.5,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000007866,ENSG00000007866,6,35441374,35464853,-1,0.0594437240681896,512.5,Bilateria,Chordata,Duplicate,Old
ENSG00000007908,ENSG00000007908,1,169691781,169733846,-1,0.620418202702621,242.5,Bilateria,Sarcopterygii,Duplicate,Old
ENSG00000007923,ENSG00000007923,1,6694228,6761984,-1,0.0444072639832278,417,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000007933,ENSG00000007933,1,171060018,171086959,1,0.462457538792762,351.5,Chordata,Theria,Duplicate,Middle
ENSG00000007944,ENSG00000007944,6,16129356,16148479,1,0.41134252587919,160.5,Bilateria,Bilateria,Duplicate,Old
ENSG00000007952,ENSG00000007952,X,100098313,100129334,-1,0.383139911152396,1017.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000007968,ENSG00000007968,1,23832922,23857712,-1,0.0634374946511485,131,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000008018,ENSG00000008018,6,170844205,170862429,-1,0.521381759271381,190,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000008056,ENSG00000008056,X,47431303,47479252,-1,0.151335836634394,164.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000008083,ENSG00000008083,6,15246527,15522252,1,0.00627972515808314,225.5,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000008086,ENSG00000008086,X,18443703,18671749,1,0.328631586835973,411,Fungi-Metazoa_group,Chordata,Duplicate,Old
ENSG00000008118,ENSG00000008118,1,209757062,209787283,1,0.311052774255567,561.5,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000008130,ENSG00000008130,1,1682671,1711896,-1,0.0873675046109992,733.5,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000008196,ENSG00000008196,6,50786436,50815326,1,0.578232475774618,290,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000008197,ENSG00000008197,6,50681541,50740701,1,0.607819431099622,485,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000008226,ENSG00000008226,3,38080696,38165516,1,0.128229029379478,3628,Chordata,Chordata,Singleton,Old
ENSG00000008256,ENSG00000008256,7,6201407,6312275,-1,0.0162200308186368,246,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000008277,ENSG00000008277,7,87563458,87832204,1,0.556179941610202,799,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000008282,ENSG00000008282,7,105730949,105753022,-1,0.167934970918439,299.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000008283,ENSG00000008283,17,61509665,61523739,-1,0.0928339730366998,546,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000008294,ENSG00000008294,17,49039535,49198226,-1,0.0962615170892625,48.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000008300,ENSG00000008300,3,48673902,48700348,-1,0.0899849145039573,374,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000008311,ENSG00000008311,7,121715701,121784334,-1,0.0442648977947235,1348.5,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
