"X"	"HUGO_symbol"	"seqnames"	"start"	"end"	"GeneAge"	"BirthType"
"ENSG00000004866"	"-"	"7"	"116593292"	"116870157"	"Euteleostomi"	"Duplicate"
"ENSG00000004897"	"-"	"17"	"45195069"	"45266788"	"FungiMetazoa"	"Singleton"
"ENSG00000004939"	"-"	"17"	"42325753"	"42345509"	"Euteleostomi"	"Duplicate"
"ENSG00000004948"	"-"	"7"	"93053799"	"93204042"	"Euteleostomi"	"Duplicate"
"ENSG00000004961"	"-"	"X"	"11129421"	"11141198"	"FungiMetazoa"	"Singleton"
"ENSG00000004975"	"-"	"17"	"7128660"	"7137864"	"Euteleostomi"	"Duplicate"
"ENSG00000005001"	"-"	"16"	"2902728"	"2908171"	"Mammalia"	"Duplicate"
"ENSG00000005007"	"-"	"19"	"18942747"	"18979045"	"Bilateria"	"Duplicate"
"ENSG00000005020"	"-"	"7"	"26706681"	"27034858"	"Euteleostomi"	"Duplicate"
"ENSG00000005022"	"-"	"X"	"118602363"	"118605282"	"Euteleostomi"	"Duplicate"
"ENSG00000005059"	"-"	"4"	"110481361"	"110609874"	"Euteleostomi"	"Duplicate"
"ENSG00000005073"	"-"	"7"	"27221129"	"27224842"	"Euteleostomi"	"Duplicate"
"ENSG00000005100"	"-"	"17"	"5344232"	"5372380"	"Bilateria"	"Duplicate"
"ENSG00000005102"	"-"	"17"	"41717756"	"41739322"	"Euteleostomi"	"Duplicate"
"ENSG00000005108"	"-"	"7"	"11409984"	"11871824"	"Chordata"	"Duplicate"
"ENSG00000005156"	"-"	"17"	"33307513"	"33332083"	"Bilateria"	"Duplicate"
"ENSG00000005175"	"-"	"12"	"48057070"	"48099844"	"Bilateria"	"Duplicate"
"ENSG00000005187"	"-"	"16"	"20621565"	"20808903"	"Euteleostomi"	"Duplicate"
"ENSG00000005189"	"-"	"16"	"20817751"	"20860987"	"Bilateria"	"Duplicate"
"ENSG00000005194"	"-"	"16"	"57462081"	"57481440"	"FungiMetazoa"	"Singleton"
"ENSG00000005238"	"-"	"9"	"35104109"	"35116338"	"Euteleostomi"	"Duplicate"
"ENSG00000005243"	"-"	"17"	"46103533"	"46115392"	"Bilateria"	"Duplicate"
"ENSG00000005249"	"-"	"7"	"106685094"	"106802256"	"Euteleostomi"	"Duplicate"
"ENSG00000005302"	"-"	"X"	"11776278"	"11793870"	"Bilateria"	"Singleton"
"ENSG00000005339"	"-"	"16"	"3775055"	"3930727"	"Bilateria"	"Duplicate"
"ENSG00000005379"	"-"	"17"	"56378592"	"56406152"	"Chordata"	"Duplicate"
"ENSG00000005381"	"-"	"17"	"56347217"	"56358296"	"Mammalia"	"Duplicate"
"ENSG00000005421"	"-"	"7"	"94926988"	"95025673"	"Theria"	"Duplicate"
"ENSG00000005436"	"-"	"2"	"75879126"	"75938115"	"Euteleostomi"	"Duplicate"
"ENSG00000005448"	"-"	"2"	"74648805"	"74652882"	"Bilateria"	"Singleton"
"ENSG00000005469"	"-"	"7"	"86974997"	"87029111"	"Bilateria"	"Duplicate"
"ENSG00000005471"	"-"	"7"	"87031013"	"87109751"	"Mammalia"	"Duplicate"
"ENSG00000005483"	"-"	"7"	"104654626"	"104754808"	"Euteleostomi"	"Duplicate"
"ENSG00000005486"	"-"	"7"	"75471920"	"75518244"	"Euteleostomi"	"Singleton"
"ENSG00000005513"	"-"	"16"	"1031808"	"1036979"	"Bilateria"	"Duplicate"
"ENSG00000005700"	"-"	"6"	"82879700"	"82957471"	"Bilateria"	"Duplicate"
"ENSG00000005801"	"-"	"11"	"3360491"	"3400448"	"Simiiformes"	"Duplicate"
"ENSG00000005810"	"-"	"13"	"77618792"	"77901185"	"Bilateria"	"Singleton"
"ENSG00000005812"	"-"	"13"	"77566740"	"77601330"	"Euteleostomi"	"Duplicate"
"ENSG00000005844"	"-"	"16"	"30483979"	"30534506"	"Euteleostomi"	"Duplicate"
"ENSG00000005882"	"-"	"17"	"48172101"	"48189516"	"Euteleostomi"	"Duplicate"
"ENSG00000005884"	"-"	"17"	"48133332"	"48167845"	"Euteleostomi"	"Duplicate"
"ENSG00000005893"	"-"	"X"	"119561682"	"119603220"	"Euteleostomi"	"Duplicate"
"ENSG00000005955"	"-"	"17"	"34900737"	"34946278"	"Bilateria"	"Singleton"
"ENSG00000005961"	"-"	"17"	"42449548"	"42466873"	"Bilateria"	"Duplicate"
"ENSG00000005981"	"-"	"7"	"95107756"	"95169544"	"Euteleostomi"	"Duplicate"
"ENSG00000006007"	"-"	"16"	"19513015"	"19533467"	"Bilateria"	"Singleton"
"ENSG00000006015"	"-"	"19"	"18699495"	"18703146"	"Euteleostomi"	"Singleton"
"ENSG00000006016"	"-"	"19"	"18683030"	"18718551"	"Euteleostomi"	"Duplicate"
"ENSG00000006025"	"-"	"17"	"45884738"	"45899200"	"Euteleostomi"	"Duplicate"
"ENSG00000006042"	"-"	"17"	"31254928"	"31272124"	"Bilateria"	"Singleton"
"ENSG00000006047"	"-"	"17"	"7191571"	"7197934"	"Euteleostomi"	"Duplicate"
"ENSG00000006059"	"-"	"17"	"39502344"	"39507064"	"Catarrhini"	"Duplicate"
"ENSG00000006071"	"-"	"11"	"17414432"	"17498449"	"Euteleostomi"	"Duplicate"
"ENSG00000006074"	"-"	"17"	"34391640"	"34399392"	"Simiiformes"	"Duplicate"
"ENSG00000006075"	"-"	"17"	"34415602"	"34417515"	"Hominoidea"	"Duplicate"
"ENSG00000006114"	"-"	"17"	"35874900"	"35969544"	"Bilateria"	"Singleton"
"ENSG00000006116"	"-"	"16"	"24266874"	"24374122"	"Euteleostomi"	"Duplicate"
"ENSG00000006118"	"-"	"11"	"60691935"	"60704631"	"Euteleostomi"	"Duplicate"
"ENSG00000006125"	"-"	"17"	"33905065"	"34053436"	"Euteleostomi"	"Duplicate"
"ENSG00000006128"	"-"	"7"	"97361220"	"97369784"	"Euteleostomi"	"Singleton"
"ENSG00000006194"	"-"	"16"	"3313743"	"3351401"	"Mammalia"	"Duplicate"
"ENSG00000006210"	"-"	"16"	"57406370"	"57418960"	"Mammalia"	"Singleton"
"ENSG00000006282"	"-"	"17"	"48620419"	"48633213"	"Bilateria"	"Singleton"
"ENSG00000006283"	"-"	"17"	"48638429"	"48704835"	"Euteleostomi"	"Duplicate"
"ENSG00000006327"	"-"	"16"	"3068446"	"3072384"	"Amniota"	"Singleton"
"ENSG00000006377"	"-"	"7"	"96634860"	"96640351"	"Euteleostomi"	"Duplicate"
"ENSG00000006432"	"-"	"14"	"71189243"	"71276251"	"Euteleostomi"	"Duplicate"
"ENSG00000006451"	"-"	"7"	"39663082"	"39747723"	"Euteleostomi"	"Duplicate"
"ENSG00000006453"	"-"	"7"	"97920963"	"98030380"	"Euteleostomi"	"Duplicate"
"ENSG00000006459"	"-"	"7"	"139784546"	"139876835"	"Euteleostomi"	"Duplicate"
"ENSG00000006468"	"-"	"7"	"13930853"	"14031050"	"Euteleostomi"	"Duplicate"
"ENSG00000006530"	"-"	"7"	"141250989"	"141355044"	"Bilateria"	"Duplicate"
"ENSG00000006555"	"-"	"1"	"55245385"	"55266940"	"Chordata"	"Singleton"
"ENSG00000006576"	"-"	"7"	"77428122"	"77586818"	"Euteleostomi"	"Duplicate"
"ENSG00000006606"	"-"	"7"	"75398851"	"75419214"	"Theria"	"Duplicate"
"ENSG00000006607"	"-"	"2"	"242295658"	"242434256"	"Euteleostomi"	"Duplicate"
"ENSG00000006611"	"-"	"11"	"17515442"	"17565963"	"Bilateria"	"Duplicate"
"ENSG00000006625"	"-"	"7"	"30536237"	"30591095"	"Bilateria"	"Singleton"
"ENSG00000006634"	"-"	"7"	"87505531"	"87538856"	"Euteleostomi"	"Duplicate"
"ENSG00000006638"	"-"	"19"	"3594504"	"3606838"	"Euteleostomi"	"Duplicate"
"ENSG00000006652"	"-"	"7"	"112063023"	"112121072"	"Euteleostomi"	"Duplicate"
"ENSG00000006659"	"-"	"19"	"40194946"	"40200084"	"Simiiformes"	"Duplicate"
"ENSG00000006695"	"-"	"17"	"13972813"	"14111994"	"FungiMetazoa"	"Singleton"
"ENSG00000006704"	"-"	"7"	"73868120"	"74016931"	"Sarcopterygii"	"Duplicate"
"ENSG00000006712"	"-"	"19"	"39876492"	"39881835"	"Bilateria"	"Singleton"
"ENSG00000006715"	"-"	"7"	"38762563"	"38971994"	"FungiMetazoa"	"Singleton"
"ENSG00000006740"	"-"	"17"	"12692856"	"12894960"	"Euteleostomi"	"Duplicate"
"ENSG00000006744"	"-"	"17"	"12895708"	"12921504"	"FungiMetazoa"	"Singleton"
"ENSG00000006747"	"-"	"7"	"12610203"	"12693228"	"Euteleostomi"	"Duplicate"
"ENSG00000006756"	"-"	"X"	"2822011"	"2847392"	"Sarcopterygii"	"Duplicate"
"ENSG00000006757"	"-"	"X"	"7866288"	"7895780"	"Bilateria"	"Duplicate"
"ENSG00000006788"	"-"	"17"	"10201401"	"10276447"	"Amniota"	"Duplicate"
"ENSG00000006831"	"-"	"12"	"1797740"	"1897844"	"Euteleostomi"	"Duplicate"
"ENSG00000006837"	"-"	"5"	"133541305"	"133706738"	"Euteleostomi"	"Duplicate"
"ENSG00000007001"	"-"	"2"	"158733214"	"158992666"	"Euteleostomi"	"Duplicate"
"ENSG00000007038"	"-"	"16"	"2867164"	"2876305"	"Eutheria"	"Duplicate"
"ENSG00000007047"	"-"	"19"	"45582546"	"45808541"	"Euteleostomi"	"Duplicate"
"ENSG00000007062"	"-"	"4"	"15964699"	"16086001"	"Euteleostomi"	"Duplicate"
"ENSG00000007080"	"-"	"19"	"18043825"	"18054800"	"Bilateria"	"Singleton"
"ENSG00000007129"	"-"	"19"	"42055886"	"42093197"	"Euteleostomi"	"Singleton"
"ENSG00000007168"	"-"	"17"	"2496504"	"2588909"	"Bilateria"	"Duplicate"
"ENSG00000007171"	"-"	"17"	"26083792"	"26127525"	"Euteleostomi"	"Duplicate"
"ENSG00000007174"	"-"	"17"	"11501748"	"11873065"	"Euteleostomi"	"Duplicate"
"ENSG00000007202"	"-"	"17"	"26941458"	"26972472"	"Bilateria"	"Singleton"
"ENSG00000007216"	"-"	"17"	"26800311"	"26824799"	"Euteleostomi"	"Duplicate"
"ENSG00000007237"	"-"	"17"	"9813926"	"10101868"	"Chordata"	"Singleton"
"ENSG00000007255"	"-"	"19"	"45666186"	"45681495"	"Euteleostomi"	"Duplicate"
"ENSG00000007264"	"-"	"19"	"3777971"	"3802127"	"Euteleostomi"	"Duplicate"
"ENSG00000007306"	"-"	"19"	"42177235"	"42210895"	"Simiiformes"	"Duplicate"
"ENSG00000007312"	"-"	"17"	"62006100"	"62009714"	"Amniota"	"Singleton"
"ENSG00000007314"	"-"	"17"	"62015914"	"62050278"	"Euteleostomi"	"Duplicate"
"ENSG00000007341"	"-"	"1"	"113066140"	"113163447"	"Euteleostomi"	"Duplicate"
"ENSG00000007350"	"-"	"X"	"153524024"	"153558700"	"Eutheria"	"Duplicate"
"ENSG00000007372"	"-"	"11"	"31806340"	"31839509"	"Bilateria"	"Duplicate"
"ENSG00000007376"	"-"	"16"	"834974"	"838397"	"FungiMetazoa"	"Singleton"
"ENSG00000007384"	"-"	"16"	"108058"	"126354"	"Euteleostomi"	"Duplicate"
"ENSG00000007392"	"-"	"16"	"238968"	"279462"	"Euteleostomi"	"Duplicate"
"ENSG00000007402"	"-"	"3"	"50400233"	"50541675"	"Euteleostomi"	"Duplicate"
"ENSG00000007516"	"-"	"16"	"1383602"	"1399439"	"Euteleostomi"	"Duplicate"
"ENSG00000007520"	"-"	"16"	"1399241"	"1401912"	"FungiMetazoa"	"Singleton"
"ENSG00000007541"	"-"	"16"	"616995"	"634136"	"FungiMetazoa"	"Singleton"
"ENSG00000007866"	"-"	"6"	"35441374"	"35464853"	"Chordata"	"Duplicate"
"ENSG00000007908"	"-"	"1"	"169691781"	"169733846"	"Sarcopterygii"	"Duplicate"
"ENSG00000007923"	"-"	"1"	"6694228"	"6761984"	"FungiMetazoa"	"Singleton"
"ENSG00000007933"	"-"	"1"	"171060018"	"171086959"	"Theria"	"Duplicate"
"ENSG00000007944"	"-"	"6"	"16129356"	"16148479"	"Bilateria"	"Duplicate"
"ENSG00000007952"	"-"	"X"	"100098313"	"100129334"	"Euteleostomi"	"Duplicate"
"ENSG00000007968"	"-"	"1"	"23832922"	"23857712"	"Euteleostomi"	"Duplicate"
"ENSG00000008018"	"-"	"6"	"170844205"	"170862429"	"FungiMetazoa"	"Singleton"
"ENSG00000008056"	"-"	"X"	"47431303"	"47479252"	"Euteleostomi"	"Duplicate"
"ENSG00000008083"	"-"	"6"	"15246527"	"15522252"	"Bilateria"	"Duplicate"
"ENSG00000008086"	"-"	"X"	"18443703"	"18671749"	"Chordata"	"Duplicate"
"ENSG00000008118"	"-"	"1"	"209757062"	"209787283"	"Euteleostomi"	"Duplicate"
"ENSG00000008130"	"-"	"1"	"1682671"	"1711896"	"FungiMetazoa"	"Singleton"
"ENSG00000008196"	"-"	"6"	"50786436"	"50815326"	"Euteleostomi"	"Duplicate"
"ENSG00000008197"	"-"	"6"	"50681541"	"50740701"	"Euteleostomi"	"Duplicate"
"ENSG00000008226"	"-"	"3"	"38080696"	"38165516"	"Chordata"	"Singleton"
"ENSG00000008256"	"-"	"7"	"6201407"	"6312275"	"Euteleostomi"	"Duplicate"
"ENSG00000008277"	"-"	"7"	"87563458"	"87832204"	"Euteleostomi"	"Duplicate"
"ENSG00000008282"	"-"	"7"	"105730949"	"105753022"	"Euteleostomi"	"Duplicate"
"ENSG00000008283"	"-"	"17"	"61509665"	"61523739"	"Euteleostomi"	"Duplicate"
"ENSG00000008294"	"-"	"17"	"49039535"	"49198226"	"Euteleostomi"	"Duplicate"
"ENSG00000008300"	"-"	"3"	"48673902"	"48700348"	"Euteleostomi"	"Duplicate"
"ENSG00000008311"	"-"	"7"	"121715701"	"121784334"	"FungiMetazoa"	"Singleton"
"ENSG00000008323"	"-"	"12"	"6419602"	"6437672"	"Euteleostomi"	"Duplicate"
"ENSG00000008324"	"-"	"3"	"42623332"	"42636606"	"Chordata"	"Duplicate"
"ENSG00000008382"	"-"	"19"	"4343524"	"4360083"	"Euteleostomi"	"Duplicate"
"ENSG00000008394"	"-"	"12"	"16500076"	"16762193"	"Chordata"	"Duplicate"
"ENSG00000008405"	"-"	"12"	"107385142"	"107487607"	"Euteleostomi"	"Duplicate"
"ENSG00000008438"	"-"	"19"	"46522411"	"46526323"	"Sarcopterygii"	"Duplicate"
"ENSG00000008441"	"-"	"19"	"13106422"	"13209610"	"Euteleostomi"	"Duplicate"
"ENSG00000008513"	"-"	"8"	"134467091"	"134584183"	"Euteleostomi"	"Duplicate"
"ENSG00000008516"	"-"	"16"	"3096682"	"3110727"	"Euteleostomi"	"Duplicate"
"ENSG00000008517"	"-"	"16"	"3115298"	"3131908"	"Eutheria"	"Singleton"
"ENSG00000008710"	"-"	"16"	"2138711"	"2185899"	"Chordata"	"Duplicate"
"ENSG00000008735"	"-"	"22"	"51039114"	"51052409"	"Euteleostomi"	"Duplicate"
"ENSG00000008838"	"-"	"17"	"38175350"	"38217468"	"Bilateria"	"Singleton"
"ENSG00000008853"	"-"	"8"	"22844930"	"22877712"	"Euteleostomi"	"Duplicate"
"ENSG00000008869"	"-"	"2"	"37195526"	"37311485"	"Euteleostomi"	"Duplicate"
"ENSG00000008952"	"-"	"3"	"169684423"	"169716161"	"FungiMetazoa"	"Singleton"
"ENSG00000008988"	"-"	"8"	"56979854"	"56987069"	"FungiMetazoa"	"Singleton"
"ENSG00000009307"	"-"	"1"	"115259534"	"115301297"	"Bilateria"	"Singleton"
"ENSG00000009335"	"-"	"7"	"156931607"	"157062066"	"Bilateria"	"Duplicate"
"ENSG00000009413"	"-"	"6"	"111620234"	"111804918"	"Chordata"	"Duplicate"
"ENSG00000009694"	"-"	"X"	"123509753"	"124097666"	"Euteleostomi"	"Duplicate"
"ENSG00000009709"	"-"	"1"	"18957500"	"19075360"	"Euteleostomi"	"Duplicate"
"ENSG00000009724"	"-"	"1"	"11086580"	"11107290"	"Euteleostomi"	"Duplicate"
"ENSG00000009765"	"-"	"6"	"150690028"	"150727105"	"Bilateria"	"Singleton"
"ENSG00000009780"	"-"	"1"	"28052490"	"28089633"	"Euteleostomi"	"Duplicate"
"ENSG00000009790"	"-"	"1"	"209929377"	"209955668"	"Euteleostomi"	"Duplicate"
"ENSG00000009830"	"-"	"14"	"77741299"	"77787227"	"Bilateria"	"Duplicate"
"ENSG00000009844"	"-"	"6"	"142468367"	"142545826"	"Bilateria"	"Singleton"
"ENSG00000009950"	"-"	"7"	"73007524"	"73038873"	"Euteleostomi"	"Duplicate"
"ENSG00000009954"	"-"	"7"	"72854728"	"72936608"	"Bilateria"	"Duplicate"
"ENSG00000010017"	"-"	"6"	"13621730"	"13711796"	"Euteleostomi"	"Duplicate"
"ENSG00000010030"	"-"	"6"	"36322419"	"36356164"	"Euteleostomi"	"Duplicate"
"ENSG00000010072"	"-"	"1"	"231472850"	"231490769"	"Bilateria"	"Singleton"
"ENSG00000010165"	"-"	"1"	"171750788"	"171783163"	"Bilateria"	"Singleton"
"ENSG00000010244"	"-"	"17"	"30677136"	"30708905"	"Bilateria"	"Singleton"
"ENSG00000010256"	"-"	"3"	"48636435"	"48648409"	"Euteleostomi"	"Duplicate"
"ENSG00000010270"	"-"	"7"	"38217824"	"38270272"	"Euteleostomi"	"Duplicate"
"ENSG00000010278"	"-"	"12"	"6308881"	"6347425"	"Euteleostomi"	"Duplicate"
"ENSG00000010282"	"-"	"3"	"42734155"	"42744319"	"Euteleostomi"	"Duplicate"
"ENSG00000010292"	"-"	"12"	"6602522"	"6641121"	"FungiMetazoa"	"Singleton"
"ENSG00000010295"	"-"	"12"	"6647541"	"6665239"	"Euteleostomi"	"Duplicate"
"ENSG00000010310"	"-"	"19"	"46171502"	"46186982"	"Euteleostomi"	"Duplicate"
"ENSG00000010318"	"-"	"3"	"52444673"	"52457657"	"Chordata"	"Duplicate"
"ENSG00000010319"	"-"	"3"	"52467069"	"52479101"	"Euteleostomi"	"Duplicate"
"ENSG00000010322"	"-"	"3"	"52489134"	"52527087"	"Bilateria"	"Duplicate"
"ENSG00000010327"	"-"	"3"	"52529354"	"52558511"	"Euteleostomi"	"Duplicate"
"ENSG00000010361"	"-"	"19"	"50310126"	"50320633"	"Bilateria"	"Singleton"
"ENSG00000010379"	"-"	"12"	"329789"	"372039"	"Euteleostomi"	"Duplicate"
"ENSG00000010404"	"-"	"X"	"148558521"	"148615470"	"HomoSapiens"	"Duplicate"
"ENSG00000010438"	"-"	"9"	"33750515"	"33799230"	"Catarrhini"	"Duplicate"
"ENSG00000010539"	"-"	"16"	"3272325"	"3286221"	"Theria"	"Duplicate"
"ENSG00000010610"	"-"	"12"	"6896024"	"6929974"	"Amniota"	"Singleton"
"ENSG00000010626"	"-"	"12"	"6982733"	"7023407"	"Chordata"	"Singleton"
"ENSG00000010671"	"-"	"X"	"100604435"	"100641183"	"Euteleostomi"	"Duplicate"
"ENSG00000010704"	"-"	"6"	"26087509"	"26098571"	"Amniota"	"Duplicate"
"ENSG00000010803"	"-"	"1"	"41492872"	"41707826"	"Euteleostomi"	"Duplicate"
"ENSG00000010810"	"-"	"6"	"111981535"	"112194655"	"Euteleostomi"	"Duplicate"
"ENSG00000010818"	"-"	"6"	"143072604"	"143266338"	"Euteleostomi"	"Duplicate"
"ENSG00000010932"	"-"	"1"	"171217638"	"171255117"	"Tetrapoda"	"Duplicate"
"ENSG00000011007"	"-"	"1"	"24069645"	"24088549"	"Eutheria"	"Duplicate"
"ENSG00000011009"	"-"	"1"	"24117460"	"24122029"	"Euteleostomi"	"Duplicate"
"ENSG00000011021"	"-"	"1"	"11866207"	"11903201"	"Bilateria"	"Duplicate"
"ENSG00000011028"	"-"	"17"	"60704762"	"60770958"	"Euteleostomi"	"Duplicate"
"ENSG00000011052"	"-"	"17"	"49230951"	"49249105"	"HomoSapiens"	"Duplicate"
"ENSG00000011083"	"-"	"5"	"149569520"	"149602351"	"Bilateria"	"Duplicate"
"ENSG00000011105"	"-"	"12"	"3186521"	"3395730"	"Euteleostomi"	"Duplicate"
"ENSG00000011114"	"-"	"14"	"93703896"	"93799438"	"Bilateria"	"Singleton"
"ENSG00000011132"	"-"	"19"	"3750817"	"3761697"	"Euteleostomi"	"Duplicate"
"ENSG00000011143"	"-"	"17"	"56282803"	"56296966"	"Bilateria"	"Singleton"
"ENSG00000011198"	"-"	"3"	"43731605"	"43775863"	"Euteleostomi"	"Duplicate"
"ENSG00000011201"	"-"	"X"	"8496915"	"8700227"	"Bilateria"	"Singleton"
"ENSG00000011243"	"-"	"19"	"15490859"	"15529952"	"Euteleostomi"	"Duplicate"
"ENSG00000011258"	"-"	"17"	"49254786"	"49337524"	"Euteleostomi"	"Duplicate"
"ENSG00000011260"	"-"	"17"	"49337889"	"49375297"	"FungiMetazoa"	"Singleton"
"ENSG00000011275"	"-"	"7"	"5659678"	"5821370"	"Euteleostomi"	"Singleton"
"ENSG00000011295"	"-"	"17"	"15902694"	"15948329"	"Bilateria"	"Singleton"
"ENSG00000011304"	"-"	"19"	"797075"	"812327"	"Euteleostomi"	"Duplicate"
"ENSG00000011332"	"-"	"19"	"38701646"	"38720354"	"Euteleostomi"	"Duplicate"
"ENSG00000011347"	"-"	"11"	"61282785"	"61348620"	"Bilateria"	"Duplicate"
"ENSG00000011376"	"-"	"3"	"45429998"	"45590913"	"FungiMetazoa"	"Singleton"
