GeneID	Prot	FamilyAge	GeneAge	GeneType
ENSMUSG00000001763	ENSMUSP00000045282	Bilateria	Bilateria	Duplicate
ENSMUSG00000037031	ENSMUSP00000047029	Bilateria	Bilateria	Duplicate
ENSMUSG00000028152	ENSMUSP00000029800	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000024383	ENSMUSP00000094326	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000051590	ENSMUSP00000056254	FungiMetazoa	Chordata	Duplicate
ENSMUSG00000021754	ENSMUSP00000104890	FungiMetazoa	Chordata	Duplicate
ENSMUSG00000020700	ENSMUSP00000002044	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000024235	ENSMUSP00000025078	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000020941	ENSMUSP00000021324	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000032423	ENSMUSP00000133649	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000066037	ENSMUSP00000138399	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000044595	ENSMUSP00000054412	Bilateria	Chordata	Duplicate
ENSMUSG00000052595	ENSMUSP00000075235	Bilateria	Chordata	Duplicate
ENSMUSG00000033882	ENSMUSP00000045511	Bilateria	Chordata	Duplicate
ENSMUSG00000070780	ENSMUSP00000109355	Bilateria	Chordata	Duplicate
ENSMUSG00000029802	ENSMUSP00000031822	FungiMetazoa	Rodentia	Duplicate
ENSMUSG00000040505	ENSMUSP00000069495	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000024254	ENSMUSP00000035246	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000029299	ENSMUSP00000031239	FungiMetazoa	Rodentia	Duplicate
ENSMUSG00000032131	ENSMUSP00000124647	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000024030	ENSMUSP00000024829	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000097333	ENSMUSP00000138087	Euteleostomi	Murinae	Duplicate
ENSMUSG00000058900	ENSMUSP00000021997	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000078994	ENSMUSP00000105354	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000059839	ENSMUSP00000019572	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000033883	ENSMUSP00000131779	Euteleostomi	Murinae	Duplicate
ENSMUSG00000051037	ENSMUSP00000112546	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000057842	ENSMUSP00000105357	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000071291	ENSMUSP00000075487	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000098905	ENSMUSP00000076700	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000069206	ENSMUSP00000074735	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000055341	ENSMUSP00000053879	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000099122	ENSMUSP00000138829	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000071281	ENSMUSP00000072900	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000078995	ENSMUSP00000059686	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000090659	ENSMUSP00000132282	Euteleostomi	Murinae	Duplicate
ENSMUSG00000052909	ENSMUSP00000125787	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000074824	ENSMUSP00000089111	Euteleostomi	Murinae	Duplicate
ENSMUSG00000034818	ENSMUSP00000113675	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000005506	ENSMUSP00000107079	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000024268	ENSMUSP00000111483	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000032297	ENSMUSP00000034840	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000028137	ENSMUSP00000029784	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000002107	ENSMUSP00000110574	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000027164	ENSMUSP00000004949	Bilateria	Bilateria	Duplicate
ENSMUSG00000021277	ENSMUSP00000021706	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000017386	ENSMUSP00000017530	Bilateria	Bilateria	Duplicate
ENSMUSG00000026875	ENSMUSP00000130759	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000026637	ENSMUSP00000082710	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000026942	ENSMUSP00000028311	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000029364	ENSMUSP00000031309	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000025049	ENSMUSP00000026027	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000031787	ENSMUSP00000034239	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000017677	ENSMUSP00000017821	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000026988	ENSMUSP00000028368	FungiMetazoa	Chordata	Duplicate
ENSMUSG00000038697	ENSMUSP00000090726	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000005034	ENSMUSP00000005164	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000035725	ENSMUSP00000045304	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000029334	ENSMUSP00000124963	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000005469	ENSMUSP00000005606	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000052920	ENSMUSP00000073268	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000038879	ENSMUSP00000038922	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000028803	ENSMUSP00000099608	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000030452	ENSMUSP00000114020	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000020411	ENSMUSP00000020679	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000067219	ENSMUSP00000084462	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000047037	ENSMUSP00000053871	Bilateria	Chordata	Duplicate
ENSMUSG00000002578	ENSMUSP00000114404	Chordata	Euteleostomi	Duplicate
ENSMUSG00000018168	ENSMUSP00000099430	Chordata	Euteleostomi	Duplicate
ENSMUSG00000040167	ENSMUSP00000035583	Chordata	Euteleostomi	Duplicate
ENSMUSG00000038679	ENSMUSP00000129779	Chordata	Euteleostomi	Duplicate
ENSMUSG00000025997	ENSMUSP00000027146	Chordata	Euteleostomi	Duplicate
ENSMUSG00000018654	ENSMUSP00000075992	Chordata	Euteleostomi	Duplicate
ENSMUSG00000047678	ENSMUSP00000062535	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000036353	ENSMUSP00000051353	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000036362	ENSMUSP00000044730	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000036381	ENSMUSP00000088642	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000050075	ENSMUSP00000082115	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000051431	ENSMUSP00000059272	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000040229	ENSMUSP00000042715	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000047766	ENSMUSP00000070606	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000057110	ENSMUSP00000108660	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000026275	ENSMUSP00000027494	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000021090	ENSMUSP00000124394	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000056598	ENSMUSP00000104363	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000031831	ENSMUSP00000090790	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000007817	ENSMUSP00000124863	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000004934	ENSMUSP00000005064	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000041164	ENSMUSP00000105409	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000032405	ENSMUSP00000096248	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000025423	ENSMUSP00000110425	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000028101	ENSMUSP00000069259	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000037989	ENSMUSP00000089212	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000035112	ENSMUSP00000099397	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000045962	ENSMUSP00000086017	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000041245	ENSMUSP00000138839	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000029148	ENSMUSP00000031034	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000075590	ENSMUSP00000019516	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000075604	ENSMUSP00000127888	Bilateria	Murinae	Duplicate
ENSMUSG00000026170	ENSMUSP00000027356	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000022589	ENSMUSP00000131503	Bilateria	Murinae	Duplicate
ENSMUSG00000006724	ENSMUSP00000130005	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000032323	ENSMUSP00000034874	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000038567	ENSMUSP00000047954	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000047026	ENSMUSP00000045160	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000027605	ENSMUSP00000029135	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000027452	ENSMUSP00000028944	FungiMetazoa	Chordata	Duplicate
ENSMUSG00000030935	ENSMUSP00000102138	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000030972	ENSMUSP00000063416	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000030945	ENSMUSP00000095690	FungiMetazoa	Theria	Duplicate
ENSMUSG00000033533	ENSMUSP00000036140	FungiMetazoa	Theria	Duplicate
ENSMUSG00000091987	ENSMUSP00000129935	Bilateria	Mus.musculus	Duplicate
ENSMUSG00000029817	ENSMUSP00000031841	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000095948	ENSMUSP00000137266	Bilateria	Mus.musculus	Duplicate
ENSMUSG00000031134	ENSMUSP00000110374	Bilateria	Eutheria	Duplicate
ENSMUSG00000094658	ENSMUSP00000097930	Bilateria	Mus.musculus	Duplicate
ENSMUSG00000095852	ENSMUSP00000136632	Bilateria	Mus.musculus	Duplicate
ENSMUSG00000045193	ENSMUSP00000101004	Bilateria	Tetrapoda	Duplicate
ENSMUSG00000022858	ENSMUSP00000124846	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000093987	ENSMUSP00000129249	Bilateria	Mus.musculus	Duplicate
ENSMUSG00000093918	ENSMUSP00000136939	Bilateria	Mus.musculus	Duplicate
ENSMUSG00000094511	ENSMUSP00000136819	Bilateria	Mus.musculus	Duplicate
ENSMUSG00000096520	ENSMUSP00000136808	Bilateria	Mus.musculus	Duplicate
ENSMUSG00000073894	ENSMUSP00000095739	Bilateria	Eutheria	Duplicate
ENSMUSG00000031167	ENSMUSP00000038964	Bilateria	Tetrapoda	Duplicate
ENSMUSG00000038025	ENSMUSP00000047308	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000023350	ENSMUSP00000024121	FungiMetazoa	Murinae	Duplicate
ENSMUSG00000042599	ENSMUSP00000002305	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000054611	ENSMUSP00000076698	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000029475	ENSMUSP00000038229	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000030811	ENSMUSP00000033081	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000041229	ENSMUSP00000127653	FungiMetazoa	Murinae	Duplicate
ENSMUSG00000008206	ENSMUSP00000138819	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000027035	ENSMUSP00000028426	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000015714	ENSMUSP00000015858	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000030510	ENSMUSP00000069238	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000087408	ENSMUSP00000120598	Bilateria	Bilateria	Duplicate
ENSMUSG00000023021	ENSMUSP00000023762	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000043702	ENSMUSP00000059666	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000021257	ENSMUSP00000021682	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000023087	ENSMUSP00000023849	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000034724	ENSMUSP00000108629	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000026634	ENSMUSP00000064556	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000020362	ENSMUSP00000020624	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000014859	ENSMUSP00000015003	Bilateria	Chordata	Duplicate
ENSMUSG00000018983	ENSMUSP00000050047	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000016477	ENSMUSP00000100012	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000027490	ENSMUSP00000099434	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000057469	ENSMUSP00000020908	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000027552	ENSMUSP00000029069	Bilateria	Chordata	Duplicate
ENSMUSG00000020143	ENSMUSP00000090884	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000044447	ENSMUSP00000036674	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000039716	ENSMUSP00000047652	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000058325	ENSMUSP00000081531	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000035954	ENSMUSP00000047387	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000003418	ENSMUSP00000003509	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000025425	ENSMUSP00000074764	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000025789	ENSMUSP00000026896	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000030283	ENSMUSP00000032421	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000056812	ENSMUSP00000025477	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000040710	ENSMUSP00000043477	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000040270	ENSMUSP00000103815	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000015839	ENSMUSP00000099733	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000038615	ENSMUSP00000080467	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000029832	ENSMUSP00000005103	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000025612	ENSMUSP00000026703	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000058794	ENSMUSP00000122476	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000048612	ENSMUSP00000045036	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000013338	ENSMUSP00000105240	Bilateria	Chordata	Duplicate
ENSMUSG00000062372	ENSMUSP00000073803	Bilateria	Chordata	Duplicate
ENSMUSG00000033788	ENSMUSP00000080579	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000037106	ENSMUSP00000125718	Bilateria	Chordata	Duplicate
ENSMUSG00000039201	ENSMUSP00000047838	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000020130	ENSMUSP00000020339	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000038520	ENSMUSP00000048260	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000042216	ENSMUSP00000046544	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000039976	ENSMUSP00000048516	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000038351	ENSMUSP00000050496	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000063063	ENSMUSP00000124376	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000038816	ENSMUSP00000036487	Bilateria	Bilateria	Duplicate
ENSMUSG00000021823	ENSMUSP00000022369	Bilateria	Bilateria	Duplicate
ENSMUSG00000060843	ENSMUSP00000101080	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000037815	ENSMUSP00000049007	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000059049	ENSMUSP00000071627	Bilateria	Chordata	Duplicate
ENSMUSG00000042353	ENSMUSP00000038015	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000021763	ENSMUSP00000119993	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000037016	ENSMUSP00000088670	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000034687	ENSMUSP00000043250	Bilateria	Chordata	Duplicate
ENSMUSG00000032911	ENSMUSP00000038909	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000030350	ENSMUSP00000032500	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000052429	ENSMUSP00000103474	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000049300	ENSMUSP00000102177	FungiMetazoa	Chordata	Duplicate
ENSMUSG00000020230	ENSMUSP00000097166	FungiMetazoa	Chordata	Duplicate
ENSMUSG00000030505	ENSMUSP00000032715	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000032185	ENSMUSP00000034703	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000029169	ENSMUSP00000031061	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000009145	ENSMUSP00000076708	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000034931	ENSMUSP00000037251	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000040620	ENSMUSP00000104167	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000024422	ENSMUSP00000025292	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000030986	ENSMUSP00000033290	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000038393	ENSMUSP00000102710	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000002910	ENSMUSP00000002989	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000074794	ENSMUSP00000096957	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000026972	ENSMUSP00000028349	Bilateria	Bilateria	Duplicate
ENSMUSG00000042659	ENSMUSP00000044578	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000004665	ENSMUSP00000004784	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000026547	ENSMUSP00000106861	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000032085	ENSMUSP00000034590	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000001349	ENSMUSP00000001384	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000053931	ENSMUSP00000029773	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000022658	ENSMUSP00000093762	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000032624	ENSMUSP00000094528	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000071647	ENSMUSP00000093960	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000058070	ENSMUSP00000105486	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000051166	ENSMUSP00000065643	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000040811	ENSMUSP00000037654	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000044072	ENSMUSP00000051080	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000021943	ENSMUSP00000128621	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000037171	ENSMUSP00000039653	Bilateria	Bilateria	Duplicate
ENSMUSG00000023279	ENSMUSP00000024049	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000038508	ENSMUSP00000003808	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000029335	ENSMUSP00000031278	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000018238	ENSMUSP00000018382	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000011486	ENSMUSP00000058877	FungiMetazoa	Mammalia	Duplicate
ENSMUSG00000026819	ENSMUSP00000028160	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000002346	ENSMUSP00000105754	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000046329	ENSMUSP00000040198	FungiMetazoa	Mammalia	Duplicate
ENSMUSG00000071253	ENSMUSP00000043370	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000066643	ENSMUSP00000082895	Bilateria	Bilateria	Duplicate
ENSMUSG00000023467	ENSMUSP00000103391	Bilateria	Chordata	Duplicate
ENSMUSG00000031028	ENSMUSP00000033341	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000034377	ENSMUSP00000049248	Bilateria	Bilateria	Duplicate
ENSMUSG00000001521	ENSMUSP00000001562	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000037446	ENSMUSP00000049070	Bilateria	Chordata	Duplicate
ENSMUSG00000070550	ENSMUSP00000091952	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000050650	ENSMUSP00000129978	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000050425	ENSMUSP00000061878	Euteleostomi	Murinae	Duplicate
ENSMUSG00000052303	ENSMUSP00000073463	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000070551	ENSMUSP00000091953	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000050870	ENSMUSP00000052230	Euteleostomi	Murinae	Duplicate
ENSMUSG00000078698	ENSMUSP00000135437	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000093973	ENSMUSP00000124631	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000070546	ENSMUSP00000091945	Euteleostomi	Murinae	Duplicate
ENSMUSG00000070547	ENSMUSP00000091946	Euteleostomi	Murinae	Duplicate
ENSMUSG00000051207	ENSMUSP00000063021	Euteleostomi	Mammalia	Duplicate
ENSMUSG00000096719	ENSMUSP00000113310	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000094536	ENSMUSP00000136396	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000074109	ENSMUSP00000127022	Euteleostomi	Murinae	Duplicate
ENSMUSG00000031070	ENSMUSP00000033386	Euteleostomi	Mammalia	Duplicate
ENSMUSG00000050276	ENSMUSP00000060411	Euteleostomi	Theria	Duplicate
ENSMUSG00000048965	ENSMUSP00000058000	Euteleostomi	Theria	Duplicate
ENSMUSG00000067173	ENSMUSP00000084327	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000070552	ENSMUSP00000091954	Euteleostomi	Rodentia	Duplicate
ENSMUSG00000074111	ENSMUSP00000096035	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000079466	ENSMUSP00000109098	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000075028	ENSMUSP00000106905	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000069378	ENSMUSP00000089513	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000051977	ENSMUSP00000131871	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000042414	ENSMUSP00000044245	Bilateria	Bilateria	Duplicate
ENSMUSG00000035529	ENSMUSP00000041942	Bilateria	Chordata	Duplicate
ENSMUSG00000047810	ENSMUSP00000109067	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000037234	ENSMUSP00000046788	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000021182	ENSMUSP00000068629	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000032740	ENSMUSP00000048978	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000052566	ENSMUSP00000067752	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000028572	ENSMUSP00000030306	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000034220	ENSMUSP00000047199	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000031119	ENSMUSP00000033450	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000055653	ENSMUSP00000064131	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000022112	ENSMUSP00000022707	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000058571	ENSMUSP00000120362	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000029510	ENSMUSP00000124459	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000018486	ENSMUSP00000018630	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000036961	ENSMUSP00000042867	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000026167	ENSMUSP00000006718	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000000126	ENSMUSP00000104411	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000012282	ENSMUSP00000012426	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000022996	ENSMUSP00000023732	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000039787	ENSMUSP00000041622	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000032649	ENSMUSP00000037532	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000034807	ENSMUSP00000047923	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000019055	ENSMUSP00000019199	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000032374	ENSMUSP00000125373	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000004846	ENSMUSP00000004968	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000042608	ENSMUSP00000111990	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000020601	ENSMUSP00000020922	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000032715	ENSMUSP00000041747	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000035683	ENSMUSP00000043806	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000032501	ENSMUSP00000068834	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000053414	ENSMUSP00000068007	FungiMetazoa	Bilateria	Duplicate
